id,Rings
90615,9.0
90616,10.0
90617,11.0
90618,11.0
90619,9.0
90620,10.0
90621,13.0
90622,7.0
90623,9.0
90624,12.0
90625,13.0
90626,7.0
90627,11.0
90628,13.0
90629,8.0
90630,9.0
90631,14.0
90632,7.0
90633,12.0
90634,11.0
90635,7.0
90636,8.0
90637,11.0
90638,9.0
90639,10.0
90640,11.0
90641,9.0
90642,11.0
90643,6.0
90644,12.0
90645,9.0
90646,9.0
90647,11.0
90648,14.0
90649,13.0
90650,11.0
90651,10.0
90652,10.0
90653,15.0
90654,7.0
90655,9.0
90656,10.0
90657,9.0
90658,8.0
90659,11.0
90660,8.0
90661,9.0
90662,8.0
90663,11.0
90664,9.0
90665,13.0
90666,10.0
90667,6.0
90668,10.0
90669,9.0
90670,11.0
90671,11.0
90672,9.0
90673,15.0
90674,8.0
90675,6.0
90676,12.0
90677,11.0
90678,6.0
90679,9.0
90680,11.0
90681,11.0
90682,15.0
90683,10.0
90684,13.0
90685,11.0
90686,8.0
90687,11.0
90688,10.0
90689,12.0
90690,21.0
90691,9.0
90692,12.0
90693,13.0
90694,10.0
90695,9.0
90696,10.0
90697,8.0
90698,10.0
90699,6.0
90700,11.0
90701,11.0
90702,11.0
90703,13.0
90704,6.0
90705,13.0
90706,12.0
90707,7.0
90708,10.0
90709,11.0
90710,11.0
90711,9.0
90712,9.0
90713,16.0
90714,8.0
90715,8.0
90716,7.0
90717,10.0
90718,5.0
90719,7.0
90720,11.0
90721,9.0
90722,9.0
90723,9.0
90724,10.0
90725,8.0
90726,9.0
90727,9.0
90728,11.0
90729,11.0
90730,12.0
90731,7.0
90732,8.0
90733,12.0
90734,9.0
90735,9.0
90736,9.0
90737,7.0
90738,7.0
90739,15.0
90740,12.0
90741,6.0
90742,10.0
90743,14.0
90744,8.0
90745,8.0
90746,9.0
90747,5.0
90748,15.0
90749,9.0
90750,5.0
90751,8.0
90752,9.0
90753,8.0
90754,9.0
90755,10.0
90756,9.0
90757,12.0
90758,9.0
90759,8.0
90760,9.0
90761,11.0
90762,10.0
90763,8.0
90764,14.0
90765,13.0
90766,8.0
90767,16.0
90768,14.0
90769,7.0
90770,11.0
90771,11.0
90772,7.0
90773,9.0
90774,8.0
90775,10.0
90776,8.0
90777,11.0
90778,11.0
90779,11.0
90780,12.0
90781,10.0
90782,8.0
90783,12.0
90784,8.0
90785,8.0
90786,7.0
90787,10.0
90788,5.0
90789,11.0
90790,9.0
90791,7.0
90792,7.0
90793,7.0
90794,7.0
90795,12.0
90796,12.0
90797,11.0
90798,12.0
90799,8.0
90800,16.0
90801,11.0
90802,8.0
90803,12.0
90804,19.0
90805,10.0
90806,10.0
90807,10.0
90808,10.0
90809,11.0
90810,10.0
90811,10.0
90812,7.0
90813,11.0
90814,8.0
90815,8.0
90816,6.0
90817,11.0
90818,10.0
90819,8.0
90820,8.0
90821,10.0
90822,8.0
90823,6.0
90824,13.0
90825,9.0
90826,6.0
90827,5.0
90828,11.0
90829,12.0
90830,10.0
90831,10.0
90832,9.0
90833,13.0
90834,11.0
90835,10.0
90836,10.0
90837,6.0
90838,13.0
90839,9.0
90840,10.0
90841,11.0
90842,12.0
90843,12.0
90844,13.0
90845,11.0
90846,11.0
90847,8.0
90848,11.0
90849,10.0
90850,9.0
90851,15.0
90852,7.0
90853,12.0
90854,13.0
90855,8.0
90856,9.0
90857,11.0
90858,14.0
90859,12.0
90860,12.0
90861,10.0
90862,13.0
90863,10.0
90864,10.0
90865,14.0
90866,14.0
90867,13.0
90868,13.0
90869,9.0
90870,13.0
90871,12.0
90872,15.0
90873,9.0
90874,14.0
90875,10.0
90876,11.0
90877,10.0
90878,9.0
90879,10.0
90880,9.0
90881,14.0
90882,11.0
90883,11.0
90884,16.0
90885,11.0
90886,13.0
90887,6.0
90888,10.0
90889,14.0
90890,11.0
90891,11.0
90892,10.0
90893,5.0
90894,11.0
90895,12.0
90896,7.0
90897,6.0
90898,7.0
90899,13.0
90900,12.0
90901,14.0
90902,10.0
90903,8.0
90904,8.0
90905,8.0
90906,8.0
90907,13.0
90908,5.0
90909,14.0
90910,10.0
90911,8.0
90912,14.0
90913,10.0
90914,10.0
90915,8.0
90916,10.0
90917,12.0
90918,9.0
90919,9.0
90920,12.0
90921,7.0
90922,9.0
90923,10.0
90924,11.0
90925,12.0
90926,10.0
90927,11.0
90928,13.0
90929,14.0
90930,11.0
90931,12.0
90932,13.0
90933,13.0
90934,15.0
90935,9.0
90936,11.0
90937,13.0
90938,9.0
90939,9.0
90940,9.0
90941,8.0
90942,6.0
90943,12.0
90944,8.0
90945,10.0
90946,10.0
90947,11.0
90948,12.0
90949,12.0
90950,12.0
90951,11.0
90952,9.0
90953,8.0
90954,12.0
