id,Rings
90615,10.0
90616,10.0
90617,10.0
90618,11.0
90619,8.0
90620,10.0
90621,11.0
90622,6.0
90623,8.0
90624,12.0
90625,13.0
90626,6.0
90627,9.0
90628,14.0
90629,8.0
90630,7.0
90631,13.0
90632,6.0
90633,10.0
90634,10.0
90635,7.0
90636,7.0
90637,10.0
90638,9.0
90639,10.0
90640,11.0
90641,8.0
90642,10.0
90643,6.0
90644,10.0
90645,11.0
90646,9.0
90647,12.0
90648,14.0
90649,14.0
90650,10.0
90651,9.0
90652,9.0
90653,12.0
90654,6.0
90655,8.0
90656,12.0
90657,8.0
90658,8.0
90659,10.0
90660,7.0
90661,9.0
90662,7.0
90663,9.0
90664,7.0
90665,14.0
90666,9.0
90667,6.0
90668,10.0
90669,11.0
90670,9.0
90671,11.0
90672,9.0
90673,14.0
90674,8.0
90675,6.0
90676,11.0
90677,12.0
90678,5.0
90679,10.0
90680,10.0
90681,10.0
90682,16.0
90683,10.0
90684,13.0
90685,12.0
90686,7.0
90687,10.0
90688,9.0
90689,11.0
90690,18.0
90691,9.0
90692,11.0
90693,14.0
90694,9.0
90695,8.0
90696,10.0
90697,8.0
90698,9.0
90699,5.0
90700,12.0
90701,10.0
90702,10.0
90703,12.0
90704,5.0
90705,12.0
90706,12.0
90707,7.0
90708,9.0
90709,10.0
90710,10.0
90711,10.0
90712,9.0
90713,14.0
90714,7.0
90715,8.0
90716,7.0
90717,9.0
90718,4.0
90719,6.0
90720,12.0
90721,9.0
90722,9.0
90723,8.0
90724,10.0
90725,7.0
90726,8.0
90727,8.0
90728,12.0
90729,10.0
90730,10.0
90731,5.0
90732,7.0
90733,10.0
90734,9.0
90735,8.0
90736,8.0
90737,6.0
90738,7.0
90739,15.0
90740,10.0
90741,6.0
90742,10.0
90743,12.0
90744,7.0
90745,9.0
90746,8.0
90747,4.0
90748,14.0
90749,10.0
90750,4.0
90751,7.0
90752,8.0
90753,7.0
90754,9.0
90755,9.0
90756,9.0
90757,13.0
90758,9.0
90759,7.0
90760,8.0
90761,10.0
90762,9.0
90763,9.0
90764,14.0
90765,11.0
90766,7.0
90767,14.0
90768,13.0
90769,6.0
90770,11.0
90771,11.0
90772,6.0
90773,8.0
90774,7.0
90775,9.0
90776,7.0
90777,12.0
90778,10.0
90779,11.0
90780,12.0
90781,12.0
90782,8.0
90783,12.0
90784,7.0
90785,8.0
90786,6.0
90787,9.0
90788,4.0
90789,12.0
90790,9.0
90791,7.0
90792,7.0
90793,7.0
90794,6.0
90795,11.0
90796,11.0
90797,11.0
90798,12.0
90799,7.0
90800,16.0
90801,10.0
90802,7.0
90803,10.0
90804,17.0
90805,11.0
90806,9.0
90807,10.0
90808,10.0
90809,13.0
90810,9.0
90811,10.0
90812,6.0
90813,10.0
90814,7.0
90815,8.0
90816,5.0
90817,10.0
90818,9.0
90819,7.0
90820,7.0
90821,10.0
90822,7.0
90823,7.0
90824,13.0
90825,8.0
90826,6.0
90827,4.0
90828,10.0
90829,11.0
90830,10.0
90831,8.0
90832,9.0
90833,12.0
90834,10.0
90835,9.0
90836,9.0
90837,5.0
90838,11.0
90839,8.0
90840,9.0
90841,12.0
90842,13.0
90843,10.0
90844,16.0
90845,11.0
90846,11.0
90847,7.0
90848,10.0
90849,9.0
90850,10.0
90851,12.0
90852,6.0
90853,12.0
90854,11.0
90855,7.0
90856,9.0
90857,13.0
90858,12.0
90859,10.0
90860,12.0
90861,10.0
90862,11.0
90863,9.0
90864,9.0
90865,16.0
90866,15.0
90867,11.0
90868,12.0
90869,8.0
90870,14.0
90871,12.0
90872,16.0
90873,9.0
90874,15.0
90875,9.0
90876,10.0
90877,9.0
90878,8.0
90879,9.0
90880,8.0
90881,12.0
90882,12.0
90883,12.0
90884,13.0
90885,10.0
90886,13.0
90887,6.0
90888,9.0
90889,14.0
90890,10.0
90891,11.0
90892,10.0
90893,5.0
90894,12.0
90895,12.0
90896,6.0
90897,6.0
90898,6.0
90899,15.0
90900,11.0
90901,15.0
90902,9.0
90903,6.0
90904,7.0
90905,8.0
90906,7.0
90907,10.0
90908,4.0
90909,14.0
90910,9.0
90911,7.0
90912,19.0
90913,9.0
90914,9.0
90915,7.0
90916,9.0
90917,11.0
90918,7.0
90919,9.0
90920,13.0
90921,7.0
90922,8.0
90923,10.0
90924,10.0
90925,11.0
90926,12.0
90927,10.0
90928,13.0
90929,12.0
90930,10.0
90931,12.0
90932,12.0
90933,10.0
90934,15.0
90935,9.0
90936,11.0
90937,11.0
90938,9.0
90939,9.0
90940,8.0
90941,8.0
90942,6.0
90943,13.0
90944,7.0
90945,10.0
90946,9.0
90947,10.0
90948,11.0
90949,13.0
90950,11.0
90951,10.0
90952,8.0
90953,8.0
90954,12.0
90955,8.0
90956,9.0
90957,11.0
90958,4.0
90959,7.0
90960,12.0
90961,8.0
90962,11.0
90963,5.0
90964,13.0
90965,7.0
90966,10.0
90967,10.0
90968,12.0
90969,10.0
90970,10.0
90971,8.0
90972,10.0
90973,11.0
90974,9.0
90975,11.0
90976,8.0
90977,9.0
90978,7.0
90979,9.0
90980,8.0
90981,12.0
90982,14.0
90983,4.0
90984,9.0
90985,7.0
90986,13.0
90987,9.0
90988,9.0
90989,12.0
90990,9.0
90991,8.0
90992,5.0
90993,9.0
90994,13.0
90995,7.0
90996,14.0
90997,10.0
90998,7.0
90999,6.0
91000,12.0
91001,8.0
91002,8.0
91003,12.0
91004,10.0
91005,8.0
91006,11.0
91007,8.0
91008,8.0
91009,11.0
91010,10.0
91011,10.0
91012,11.0
91013,10.0
91014,9.0
91015,9.0
91016,8.0
91017,12.0
91018,7.0
91019,12.0
91020,8.0
91021,12.0
91022,8.0
91023,5.0
91024,7.0
91025,11.0
91026,9.0
91027,7.0
91028,13.0
91029,12.0
91030,9.0
91031,9.0
91032,7.0
91033,5.0
91034,11.0
91035,9.0
91036,13.0
91037,7.0
91038,14.0
91039,13.0
91040,9.0
91041,7.0
91042,10.0
91043,13.0
91044,8.0
91045,8.0
91046,8.0
91047,7.0
91048,10.0
91049,11.0
91050,10.0
91051,9.0
91052,11.0
91053,11.0
91054,9.0
91055,7.0
91056,13.0
91057,11.0
91058,16.0
91059,13.0
91060,10.0
91061,8.0
91062,14.0
91063,9.0
91064,9.0
91065,10.0
91066,9.0
91067,9.0
91068,11.0
91069,9.0
91070,9.0
91071,8.0
91072,5.0
91073,7.0
91074,16.0
91075,7.0
91076,12.0
91077,8.0
91078,6.0
91079,7.0
91080,9.0
91081,8.0
91082,10.0
91083,12.0
91084,8.0
91085,13.0
91086,12.0
91087,13.0
91088,9.0
91089,9.0
91090,11.0
91091,9.0
91092,10.0
91093,7.0
91094,7.0
91095,11.0
91096,11.0
91097,16.0
91098,7.0
91099,7.0
91100,10.0
91101,12.0
91102,8.0
91103,8.0
91104,10.0
91105,16.0
91106,13.0
91107,7.0
91108,10.0
91109,12.0
91110,14.0
91111,9.0
91112,8.0
91113,10.0
91114,5.0
91115,12.0
91116,7.0
91117,9.0
91118,7.0
91119,9.0
91120,10.0
91121,9.0
91122,6.0
91123,9.0
91124,13.0
91125,8.0
91126,8.0
91127,6.0
91128,8.0
91129,9.0
91130,9.0
91131,8.0
91132,14.0
91133,11.0
91134,10.0
91135,7.0
91136,10.0
91137,11.0
91138,8.0
91139,9.0
91140,9.0
91141,8.0
91142,11.0
91143,8.0
91144,11.0
91145,13.0
91146,6.0
91147,10.0
91148,13.0
91149,7.0
91150,16.0
91151,12.0
91152,9.0
91153,9.0
91154,7.0
91155,10.0
91156,7.0
91157,12.0
91158,10.0
91159,9.0
91160,9.0
91161,10.0
91162,11.0
91163,6.0
91164,9.0
91165,13.0
91166,10.0
91167,8.0
91168,17.0
91169,9.0
91170,7.0
91171,8.0
91172,9.0
91173,14.0
91174,7.0
91175,10.0
91176,12.0
91177,12.0
91178,5.0
91179,14.0
91180,13.0
91181,9.0
91182,10.0
91183,7.0
91184,7.0
91185,14.0
91186,10.0
91187,9.0
91188,10.0
91189,11.0
91190,6.0
91191,8.0
91192,12.0
91193,8.0
91194,8.0
91195,8.0
91196,8.0
91197,8.0
91198,7.0
91199,7.0
91200,9.0
91201,10.0
91202,13.0
91203,8.0
91204,7.0
