id,Rings
90615,11.0
90616,10.0
90617,11.0
90618,12.0
90619,8.0
90620,10.0
90621,12.0
90622,7.0
90623,9.0
90624,12.0
90625,13.0
90626,7.0
90627,10.0
90628,14.0
90629,8.0
90630,8.0
90631,14.0
90632,7.0
90633,10.0
90634,11.0
90635,7.0
90636,8.0
90637,10.0
90638,9.0
90639,10.0
90640,11.0
90641,8.0
90642,11.0
90643,6.0
90644,12.0
90645,11.0
90646,10.0
90647,13.0
90648,15.0
90649,15.0
90650,11.0
90651,10.0
90652,9.0
90653,13.0
90654,6.0
90655,9.0
90656,12.0
90657,9.0
90658,8.0
90659,10.0
90660,8.0
90661,9.0
90662,8.0
90663,10.0
90664,8.0
90665,14.0
90666,9.0
90667,6.0
90668,11.0
90669,11.0
90670,10.0
90671,11.0
90672,9.0
90673,14.0
90674,8.0
90675,6.0
90676,12.0
90677,13.0
90678,5.0
90679,10.0
90680,10.0
90681,11.0
90682,17.0
90683,11.0
90684,13.0
90685,12.0
90686,7.0
90687,11.0
90688,9.0
90689,12.0
90690,19.0
90691,9.0
90692,11.0
90693,14.0
90694,10.0
90695,9.0
90696,11.0
90697,8.0
90698,9.0
90699,6.0
90700,12.0
90701,10.0
90702,11.0
90703,13.0
90704,5.0
90705,13.0
90706,12.0
90707,7.0
90708,10.0
90709,10.0
90710,10.0
90711,10.0
90712,10.0
90713,16.0
90714,8.0
90715,9.0
90716,8.0
90717,10.0
90718,5.0
90719,6.0
90720,12.0
90721,9.0
90722,10.0
90723,8.0
90724,10.0
90725,8.0
90726,8.0
90727,9.0
90728,12.0
90729,11.0
90730,11.0
90731,6.0
90732,8.0
90733,10.0
90734,10.0
90735,8.0
90736,9.0
90737,6.0
90738,7.0
90739,16.0
90740,11.0
90741,6.0
90742,10.0
90743,13.0
90744,8.0
90745,9.0
90746,8.0
90747,5.0
90748,15.0
90749,10.0
90750,5.0
90751,8.0
90752,9.0
90753,8.0
90754,9.0
90755,10.0
90756,9.0
90757,13.0
90758,9.0
90759,8.0
90760,9.0
90761,10.0
90762,10.0
90763,10.0
90764,14.0
90765,11.0
90766,8.0
90767,15.0
90768,13.0
90769,7.0
90770,12.0
90771,11.0
90772,6.0
90773,9.0
90774,7.0
90775,10.0
90776,8.0
90777,13.0
90778,11.0
90779,11.0
90780,12.0
90781,12.0
90782,9.0
90783,12.0
90784,7.0
90785,9.0
90786,6.0
90787,9.0
90788,5.0
90789,12.0
90790,9.0
90791,8.0
90792,8.0
90793,7.0
90794,6.0
90795,12.0
90796,11.0
90797,11.0
90798,12.0
90799,8.0
90800,16.0
90801,11.0
90802,7.0
90803,11.0
90804,16.0
90805,11.0
90806,9.0
90807,11.0
90808,10.0
90809,14.0
90810,10.0
90811,10.0
90812,6.0
90813,10.0
90814,8.0
90815,8.0
90816,6.0
90817,11.0
90818,10.0
90819,7.0
90820,7.0
90821,10.0
90822,8.0
90823,7.0
90824,14.0
90825,9.0
90826,6.0
90827,5.0
90828,10.0
90829,12.0
90830,10.0
90831,9.0
90832,9.0
90833,13.0
90834,10.0
90835,10.0
90836,10.0
90837,6.0
90838,11.0
90839,9.0
90840,10.0
90841,12.0
90842,13.0
90843,11.0
90844,17.0
90845,11.0
90846,12.0
90847,7.0
90848,10.0
90849,10.0
90850,11.0
90851,13.0
90852,7.0
90853,12.0
90854,12.0
90855,8.0
90856,9.0
90857,13.0
90858,12.0
90859,11.0
90860,13.0
90861,10.0
90862,12.0
90863,10.0
90864,9.0
90865,16.0
90866,16.0
90867,12.0
90868,12.0
90869,9.0
90870,15.0
