id,Rings
90615,10.0
90616,9.0
90617,9.0
90618,9.0
90619,7.0
90620,9.0
90621,11.0
90622,6.0
90623,8.0
90624,11.0
90625,12.0
90626,6.0
90627,8.0
90628,12.0
90629,7.0
90630,7.0
90631,12.0
90632,5.0
90633,10.0
90634,9.0
90635,6.0
90636,7.0
90637,10.0
90638,9.0
90639,9.0
90640,11.0
90641,7.0
90642,10.0
90643,5.0
90644,10.0
90645,10.0
90646,9.0
90647,12.0
90648,12.0
90649,13.0
90650,10.0
90651,9.0
90652,8.0
90653,13.0
90654,6.0
90655,8.0
90656,9.0
90657,8.0
90658,6.0
90659,10.0
90660,7.0
90661,8.0
90662,7.0
90663,10.0
90664,7.0
90665,13.0
90666,9.0
90667,5.0
90668,10.0
90669,9.0
90670,9.0
90671,10.0
90672,9.0
90673,13.0
90674,7.0
90675,5.0
90676,11.0
90677,10.0
90678,4.0
90679,8.0
90680,10.0
90681,10.0
90682,14.0
90683,10.0
90684,11.0
90685,11.0
90686,7.0
90687,10.0
90688,8.0
90689,10.0
90690,17.0
90691,8.0
90692,11.0
90693,12.0
90694,9.0
90695,9.0
90696,9.0
90697,7.0
90698,9.0
90699,5.0
90700,11.0
90701,10.0
90702,9.0
90703,13.0
90704,4.0
90705,13.0
90706,11.0
90707,6.0
90708,8.0
90709,10.0
90710,9.0
90711,9.0
90712,9.0
90713,14.0
90714,7.0
90715,8.0
90716,7.0
90717,9.0
90718,4.0
90719,5.0
90720,11.0
90721,8.0
90722,8.0
90723,8.0
90724,9.0
90725,6.0
90726,7.0
90727,8.0
90728,10.0
90729,10.0
90730,10.0
90731,5.0
90732,7.0
90733,11.0
90734,9.0
90735,8.0
90736,7.0
90737,5.0
90738,7.0
90739,14.0
90740,11.0
90741,5.0
90742,9.0
90743,12.0
90744,7.0
90745,7.0
90746,8.0
90747,4.0
90748,13.0
90749,9.0
90750,4.0
90751,7.0
90752,8.0
90753,7.0
90754,9.0
90755,8.0
90756,9.0
90757,11.0
90758,9.0
90759,7.0
90760,7.0
90761,11.0
90762,9.0
90763,9.0
90764,14.0
90765,10.0
90766,7.0
90767,14.0
90768,12.0
90769,6.0
90770,11.0
90771,10.0
90772,5.0
90773,8.0
90774,7.0
90775,9.0
90776,7.0
90777,11.0
90778,10.0
90779,10.0
90780,10.0
90781,12.0
90782,8.0
90783,11.0
90784,6.0
90785,8.0
90786,6.0
90787,9.0
90788,4.0
90789,11.0
90790,8.0
90791,7.0
90792,6.0
90793,6.0
90794,5.0
90795,11.0
90796,11.0
90797,10.0
90798,11.0
90799,7.0
90800,15.0
90801,10.0
90802,7.0
90803,11.0
90804,15.0
90805,11.0
90806,8.0
90807,9.0
90808,10.0
90809,11.0
90810,9.0
90811,9.0
90812,5.0
90813,10.0
90814,7.0
90815,8.0
90816,5.0
90817,10.0
90818,9.0
90819,7.0
90820,7.0
90821,9.0
90822,7.0
90823,5.0
90824,13.0
90825,8.0
90826,5.0
90827,4.0
90828,10.0
90829,11.0
90830,9.0
90831,8.0
90832,9.0
90833,11.0
90834,10.0
90835,10.0
90836,9.0
90837,5.0
90838,11.0
90839,8.0
90840,9.0
90841,11.0
90842,12.0
90843,11.0
90844,12.0
90845,10.0
90846,12.0
90847,7.0
90848,10.0
90849,8.0
90850,8.0
90851,14.0
90852,6.0
90853,11.0
90854,11.0
90855,7.0
90856,9.0
90857,10.0
90858,11.0
90859,11.0
90860,12.0
90861,10.0
90862,11.0
90863,9.0
90864,9.0
90865,14.0
90866,13.0
90867,11.0
90868,11.0
90869,8.0
90870,12.0
90871,11.0
90872,14.0
90873,7.0
90874,14.0
90875,8.0
90876,10.0
90877,9.0
90878,8.0
90879,9.0
90880,8.0
90881,12.0
90882,10.0
90883,10.0
90884,12.0
90885,10.0
90886,13.0
90887,5.0
90888,9.0
90889,14.0
90890,9.0
90891,11.0
90892,9.0
90893,4.0
90894,11.0
90895,11.0
90896,6.0
90897,5.0
90898,6.0
90899,13.0
90900,11.0
90901,12.0
90902,8.0
90903,6.0
90904,7.0
90905,7.0
90906,7.0
90907,10.0
90908,4.0
90909,14.0
90910,9.0
90911,7.0
90912,15.0
90913,9.0
90914,9.0
90915,7.0
90916,9.0
90917,12.0
90918,7.0
90919,9.0
90920,12.0
90921,7.0
90922,7.0
90923,9.0
90924,11.0
90925,10.0
90926,10.0
90927,10.0
90928,14.0
90929,12.0
90930,10.0
90931,11.0
90932,13.0
90933,10.0
90934,14.0
90935,8.0
90936,10.0
90937,11.0
90938,9.0
90939,9.0
90940,8.0
90941,7.0
90942,5.0
90943,13.0
90944,7.0
90945,10.0
90946,9.0
90947,9.0
90948,10.0
90949,12.0
90950,11.0
90951,9.0
90952,8.0
90953,7.0
90954,12.0
90955,8.0
90956,8.0
90957,11.0
90958,4.0
90959,7.0
90960,11.0
90961,7.0
90962,11.0
90963,5.0
90964,10.0
90965,6.0
90966,11.0
90967,9.0
90968,12.0
90969,9.0
90970,9.0
90971,7.0
90972,10.0
90973,10.0
90974,9.0
90975,11.0
90976,7.0
90977,8.0
90978,6.0
90979,10.0
90980,8.0
90981,11.0
90982,12.0
90983,4.0
90984,10.0
90985,6.0
90986,13.0
90987,8.0
90988,8.0
90989,11.0
90990,9.0
90991,8.0
90992,4.0
90993,9.0
90994,11.0
90995,7.0
90996,14.0
90997,9.0
90998,7.0
90999,6.0
91000,12.0
91001,7.0
91002,8.0
91003,10.0
91004,9.0
91005,8.0
91006,12.0
91007,8.0
91008,7.0
91009,12.0
91010,10.0
91011,10.0
91012,8.0
91013,10.0
91014,8.0
91015,8.0
91016,7.0
91017,11.0
91018,7.0
91019,11.0
91020,7.0
91021,12.0
91022,8.0
91023,5.0
91024,7.0
91025,11.0
91026,9.0
91027,7.0
91028,11.0
91029,10.0
91030,8.0
91031,9.0
91032,7.0
91033,4.0
91034,10.0
91035,9.0
91036,11.0
91037,7.0
91038,12.0
91039,11.0
91040,9.0
91041,7.0
91042,10.0
91043,11.0
91044,7.0
91045,7.0
91046,8.0
91047,7.0
91048,10.0
91049,10.0
91050,10.0
91051,8.0
91052,11.0
91053,11.0
91054,8.0
91055,7.0
91056,13.0
91057,11.0
91058,15.0
91059,12.0
91060,9.0
91061,8.0
91062,14.0
91063,8.0
91064,10.0
91065,9.0
91066,10.0
91067,8.0
91068,11.0
91069,8.0
91070,8.0
91071,8.0
91072,5.0
91073,6.0
91074,13.0
91075,7.0
91076,12.0
91077,7.0
91078,6.0
91079,7.0
91080,8.0
91081,7.0
91082,10.0
91083,11.0
91084,8.0
91085,12.0
91086,10.0
91087,13.0
91088,9.0
91089,9.0
91090,10.0
91091,9.0
91092,10.0
91093,7.0
91094,6.0
91095,11.0
91096,12.0
91097,14.0
91098,7.0
91099,6.0
91100,8.0
91101,11.0
91102,7.0
91103,8.0
91104,9.0
91105,13.0
91106,11.0
91107,6.0
91108,10.0
91109,11.0
91110,13.0
91111,8.0
91112,8.0
91113,9.0
91114,5.0
91115,10.0
91116,6.0
91117,9.0
91118,6.0
91119,8.0
91120,10.0
91121,10.0
91122,6.0
91123,10.0
91124,12.0
91125,7.0
91126,8.0
91127,6.0
91128,7.0
91129,8.0
91130,9.0
91131,8.0
91132,13.0
91133,11.0
91134,10.0
91135,7.0
91136,10.0
91137,10.0
91138,8.0
91139,9.0
91140,8.0
91141,8.0
91142,11.0
91143,6.0
91144,11.0
91145,12.0
91146,5.0
91147,10.0
91148,12.0
91149,7.0
91150,14.0
91151,11.0
91152,9.0
91153,8.0
91154,7.0
91155,11.0
91156,6.0
91157,11.0
91158,8.0
91159,9.0
91160,9.0
91161,10.0
91162,11.0
91163,5.0
91164,9.0
91165,12.0
91166,11.0
91167,8.0
91168,15.0
91169,9.0
91170,7.0
91171,9.0
91172,9.0
91173,11.0
91174,6.0
91175,9.0
91176,10.0
91177,11.0
91178,4.0
91179,11.0
91180,12.0
91181,8.0
91182,10.0
91183,7.0
91184,6.0
91185,9.0
91186,9.0
91187,8.0
91188,8.0
91189,13.0
91190,5.0
91191,8.0
91192,11.0
91193,8.0
91194,8.0
91195,8.0
91196,7.0
91197,8.0
91198,6.0
91199,7.0
91200,9.0
91201,9.0
91202,12.0
91203,8.0
91204,6.0
91205,15.0
91206,12.0
91207,13.0
91208,10.0
91209,10.0
91210,6.0
91211,10.0
91212,9.0
91213,6.0
91214,13.0
91215,8.0
91216,5.0
91217,8.0
91218,10.0
91219,9.0
91220,10.0
91221,7.0
91222,12.0
91223,10.0
91224,9.0
91225,11.0
91226,12.0
91227,7.0
91228,9.0
91229,10.0
91230,10.0
91231,12.0
91232,7.0
91233,13.0
91234,7.0
91235,9.0
91236,10.0
91237,7.0
91238,8.0
91239,8.0
91240,9.0
91241,13.0
91242,10.0
91243,10.0
91244,11.0
91245,10.0
91246,7.0
91247,9.0
91248,10.0
91249,11.0
91250,7.0
91251,13.0
91252,12.0
91253,8.0
91254,6.0
91255,12.0
91256,10.0
91257,7.0
91258,8.0
91259,13.0
91260,8.0
91261,8.0
91262,9.0
91263,6.0
91264,8.0
91265,7.0
91266,12.0
91267,8.0
91268,7.0
91269,13.0
91270,16.0
91271,7.0
91272,9.0
91273,13.0
91274,8.0
91275,9.0
91276,11.0
91277,12.0
91278,10.0
91279,8.0
91280,9.0
91281,7.0
91282,10.0
91283,9.0
91284,8.0
91285,10.0
91286,8.0
91287,9.0
91288,9.0
91289,9.0
91290,7.0
91291,7.0
91292,16.0
91293,10.0
91294,9.0
91295,13.0
91296,9.0
91297,11.0
91298,13.0
91299,7.0
91300,8.0
91301,8.0
91302,9.0
91303,9.0
91304,11.0
91305,11.0
91306,6.0
91307,8.0
91308,10.0
91309,12.0
91310,10.0
91311,8.0
91312,10.0
91313,8.0
91314,6.0
91315,9.0
91316,7.0
91317,10.0
91318,8.0
91319,7.0
91320,8.0
91321,7.0
91322,4.0
91323,8.0
91324,7.0
91325,7.0
91326,11.0
91327,14.0
91328,11.0
91329,10.0
91330,9.0
91331,8.0
91332,14.0
91333,8.0
91334,10.0
91335,4.0
91336,13.0
91337,10.0
91338,8.0
91339,10.0
91340,7.0
91341,6.0
91342,10.0
91343,7.0
91344,6.0
91345,7.0
91346,7.0
91347,12.0
91348,10.0
91349,10.0
91350,4.0
91351,12.0
91352,10.0
91353,10.0
91354,9.0
91355,7.0
91356,11.0
91357,11.0
91358,16.0
91359,10.0
91360,5.0
91361,10.0
91362,8.0
91363,9.0
91364,8.0
91365,7.0
91366,10.0
91367,10.0
91368,7.0
91369,9.0
91370,11.0
91371,8.0
91372,6.0
91373,11.0
91374,6.0
91375,9.0
91376,8.0
91377,10.0
91378,11.0
91379,7.0
91380,9.0
91381,11.0
91382,4.0
91383,6.0
91384,8.0
91385,11.0
91386,9.0
91387,11.0
91388,11.0
91389,5.0
91390,7.0
91391,7.0
91392,11.0
91393,8.0
91394,9.0
91395,9.0
91396,9.0
91397,11.0
91398,11.0
