id,Rings
90615,11.0
90616,10.0
90617,10.0
90618,10.0
90619,8.0
90620,10.0
90621,12.0
90622,7.0
90623,9.0
90624,12.0
90625,13.0
90626,7.0
90627,9.0
90628,13.0
90629,8.0
90630,8.0
90631,13.0
90632,6.0
90633,11.0
90634,10.0
90635,7.0
90636,8.0
90637,11.0
90638,10.0
90639,10.0
90640,12.0
90641,8.0
90642,11.0
90643,6.0
90644,11.0
90645,11.0
90646,10.0
90647,13.0
90648,13.0
90649,14.0
90650,11.0
90651,10.0
90652,9.0
90653,14.0
90654,7.0
90655,9.0
90656,10.0
90657,9.0
90658,7.0
90659,11.0
90660,8.0
90661,9.0
90662,8.0
90663,11.0
90664,8.0
90665,14.0
90666,10.0
90667,6.0
90668,11.0
90669,10.0
90670,10.0
90671,11.0
90672,10.0
90673,14.0
90674,8.0
90675,6.0
90676,12.0
90677,11.0
90678,5.0
90679,9.0
90680,11.0
90681,11.0
90682,15.0
90683,11.0
90684,12.0
90685,12.0
90686,8.0
90687,11.0
90688,9.0
90689,11.0
90690,18.0
90691,9.0
90692,12.0
90693,13.0
90694,10.0
90695,10.0
90696,10.0
90697,8.0
90698,10.0
90699,6.0
90700,12.0
90701,11.0
90702,10.0
90703,14.0
90704,5.0
90705,14.0
90706,12.0
90707,7.0
90708,9.0
90709,11.0
90710,10.0
90711,10.0
90712,10.0
90713,15.0
90714,8.0
90715,9.0
90716,8.0
90717,10.0
90718,5.0
90719,6.0
90720,12.0
90721,9.0
90722,9.0
90723,9.0
90724,10.0
90725,7.0
90726,8.0
90727,9.0
90728,11.0
90729,11.0
90730,11.0
90731,6.0
90732,8.0
90733,12.0
90734,10.0
90735,9.0
90736,8.0
90737,6.0
90738,8.0
90739,15.0
90740,12.0
90741,6.0
90742,10.0
90743,13.0
90744,8.0
90745,8.0
90746,9.0
90747,5.0
90748,14.0
90749,10.0
90750,5.0
90751,8.0
90752,9.0
90753,8.0
90754,10.0
90755,9.0
90756,10.0
90757,12.0
90758,10.0
90759,8.0
90760,8.0
90761,12.0
90762,10.0
90763,10.0
90764,15.0
90765,11.0
90766,8.0
90767,15.0
90768,13.0
90769,7.0
90770,12.0
90771,11.0
90772,6.0
90773,9.0
90774,8.0
90775,10.0
90776,8.0
90777,12.0
90778,11.0
90779,11.0
90780,11.0
90781,13.0
90782,9.0
90783,12.0
90784,7.0
90785,9.0
90786,7.0
90787,10.0
90788,5.0
90789,12.0
90790,9.0
90791,8.0
90792,7.0
90793,7.0
90794,6.0
90795,12.0
90796,12.0
90797,11.0
90798,12.0
90799,8.0
90800,16.0
90801,11.0
90802,8.0
90803,12.0
90804,16.0
90805,12.0
90806,9.0
90807,10.0
90808,11.0
90809,12.0
90810,10.0
90811,10.0
90812,6.0
90813,11.0
90814,8.0
90815,9.0
90816,6.0
90817,11.0
90818,10.0
90819,8.0
90820,8.0
90821,10.0
90822,8.0
90823,6.0
90824,14.0
90825,9.0
90826,6.0
90827,5.0
90828,11.0
90829,12.0
90830,10.0
90831,9.0
90832,10.0
90833,12.0
90834,11.0
90835,11.0
90836,10.0
90837,6.0
90838,12.0
90839,9.0
90840,10.0
90841,12.0
90842,13.0
90843,12.0
90844,13.0
90845,11.0
90846,13.0
90847,8.0
90848,11.0
90849,9.0
90850,9.0
90851,15.0
90852,7.0
90853,12.0
90854,12.0
90855,8.0
90856,10.0
90857,11.0
90858,12.0
90859,12.0
90860,13.0
90861,11.0
90862,12.0
90863,10.0
90864,10.0
90865,15.0
90866,14.0
90867,12.0
90868,12.0
90869,9.0
90870,13.0
