iter	RMSE
0	0.3013839374
1	0.2855944944
2	0.2712024467
3	0.2584204093
4	0.2471001393
5	0.2370406772
6	0.2279944125
7	0.2199993973
8	0.2130487508
9	0.2069572213
10	0.2016191111
11	0.1969386425
12	0.1930126603
13	0.1895588033
14	0.1865816883
15	0.1839293817
16	0.1816762777
17	0.179711077
18	0.1780455915
19	0.1765964023
20	0.1753088106
21	0.1742585464
22	0.1733587094
23	0.1725710096
24	0.1718887183
25	0.1712892585
26	0.1707885598
27	0.170363644
28	0.1699850994
29	0.1696518204
30	0.1693956124
31	0.1691626817
32	0.1689519739
33	0.1687816673
34	0.1686215989
35	0.1685006712
36	0.1683868779
37	0.1682832581
38	0.1681996821
39	0.1681246722
40	0.1680634212
41	0.1680071238
42	0.1679660628
43	0.1679155626
44	0.1678770997
45	0.1678369654
46	0.167804901
47	0.1677740334
48	0.16775315
49	0.1677277382
50	0.1677064927
51	0.1676860897
52	0.1676698784
53	0.167655393
54	0.1676422924
55	0.1676244248
56	0.1676098243
57	0.167599258
58	0.167579964
59	0.1675689716
60	0.1675503201
61	0.1675428878
62	0.1675222287
63	0.1675147414
64	0.1675045625
65	0.1674861082
66	0.1674771163
67	0.1674612981
68	0.1674527024
69	0.1674325744
70	0.1674228015
71	0.1674173657
72	0.1674085582
73	0.1674013182
74	0.1673920967
75	0.1673881115
76	0.1673794268
77	0.1673689964
78	0.1673538245
79	0.1673402923
80	0.1673293661
81	0.167316847
82	0.1673045719
83	0.1673006398
84	0.1672886841
85	0.1672817806
86	0.1672738612
87	0.1672654101
88	0.1672434405
89	0.1672351117
90	0.167215485
91	0.1672098403
92	0.1672032027
93	0.1671972162
94	0.1671933457
95	0.1671876963
96	0.1671782772
97	0.1671700077
98	0.1671574415
99	0.1671484825
100	0.1671371108
101	0.1671318532
102	0.1671269698
103	0.1671176812
104	0.1671158916
105	0.1671066785
106	0.1671003575
107	0.1670951761
108	0.1670829472
109	0.1670747186
110	0.1670662869
111	0.1670628763
112	0.1670523464
113	0.1670346194
114	0.1670310651
115	0.1670176014
116	0.1670070745
117	0.1670007206
118	0.1669889891
119	0.1669790262
120	0.1669711757
121	0.1669611509
122	0.1669573858
123	0.166941754
124	0.1669340081
125	0.16691459
126	0.1669033185
127	0.1668950475
128	0.1668857934
129	0.1668811617
130	0.1668689677
131	0.1668651107
132	0.166862689
133	0.1668500387
134	0.166841473
135	0.1668253217
136	0.1668151183
137	0.166801303
138	0.1667910027
139	0.1667801808
140	0.1667754914
141	0.1667623903
142	0.1667524016
143	0.1667439762
144	0.1667328261
145	0.1667193526
146	0.1667059364
147	0.1667018434
148	0.166691232
149	0.1666769792
150	0.16666647
151	0.1666430629
152	0.1666258219
153	0.166603165
154	0.1665967757
155	0.1665779391
156	0.166566579
157	0.1665573393
158	0.1665503149
159	0.1665377214
160	0.1665286678
161	0.1665228711
162	0.1665080207
163	0.1664840865
164	0.1664753738
165	0.16645288
166	0.1664407638
167	0.1664278314
168	0.1664230704
169	0.1664182196
170	0.1664006613
171	0.1663840897
172	0.1663786674
173	0.1663630163
174	0.1663555555
175	0.1663376639
176	0.1663175882
177	0.1662966373
178	0.1662813299
179	0.1662758414
180	0.1662615954
181	0.1662482964
182	0.1662408209
183	0.166233952
184	0.166218834
185	0.1662148369
186	0.1662002255
187	0.1661866012
188	0.1661781836
189	0.1661681337
190	0.1661547193
191	0.1661450153
192	0.1661279277
193	0.166120536
194	0.1661110103
195	0.1661011503
196	0.1660869376
197	0.1660769475
198	0.1660569157
199	0.166048151
200	0.1660378618
201	0.1660245937
202	0.166007736
203	0.1660023561
204	0.165993996
205	0.1659886378
206	0.1659789769
207	0.1659659098
208	0.1659560526
209	0.1659443975
210	0.1659356202
211	0.1659182786
212	0.1659041931
213	0.165891658
214	0.1658892793
215	0.1658838606
216	0.1658662329
217	0.1658525435
218	0.1658362343
219	0.1658249382
220	0.1658161718
221	0.1658114428
222	0.1657976703
223	0.1657845227
224	0.1657667938
225	0.1657544761
226	0.165743624
227	0.1657307944
228	0.1657195986
229	0.1657044031
230	0.1656891346
231	0.1656782417
232	0.1656742822
233	0.1656617118
234	0.1656446496
235	0.1656319278
236	0.1656245957
237	0.1656126306
238	0.165595133
239	0.1655903332
240	0.1655838927
241	0.1655719316
242	0.1655686983
243	0.1655578808
244	0.1655529352
245	0.1655465372
246	0.1655331318
247	0.1655275811
248	0.1655173243
249	0.1655083944
250	0.1654962366
251	0.1654844559
252	0.1654737875
253	0.1654686938
254	0.1654577539
255	0.1654473366
256	0.1654425557
257	0.1654331473
258	0.1654237497
259	0.1654190782
260	0.1654077776
261	0.1653986126
262	0.16538564
263	0.1653761881
264	0.16537208
265	0.1653643368
266	0.165351079
267	0.1653372889
268	0.1653291031
269	0.1653204481
270	0.1653051095
271	0.165299853
272	0.1652841793
273	0.165269995
274	0.16525774
275	0.1652461676
276	0.1652346024
277	0.165224051
278	0.1652099213
279	0.1651988125
280	0.1651830172
281	0.1651749944
282	0.1651635711
283	0.1651520231
284	0.1651367394
285	0.1651253543
286	0.1651126172
287	0.1651002403
288	0.1650901278
289	0.1650817333
290	0.1650675735
291	0.1650544454
292	0.165050001
293	0.1650361985
294	0.1650322705
295	0.1650233676
296	0.1650222425
297	0.1650142549
298	0.1650049294
299	0.1649947464
300	0.16498152
301	0.1649700579
302	0.1649577499
303	0.1649526158
304	0.1649446652
305	0.1649351031
306	0.1649198895
307	0.1648998432
308	0.1648819631
309	0.1648721083
310	0.1648644703
311	0.1648550759
312	0.164851177
313	0.1648424607
314	0.1648273409
315	0.164824464
316	0.1648079472
317	0.1647913295
318	0.1647870881
319	0.1647789468
320	0.1647633043
321	0.1647484653
322	0.1647381449
323	0.1647269141
324	0.1647170604
325	0.1647126743
326	0.1647005395
327	0.1646945739
328	0.1646939617
329	0.1646821256
330	0.1646711358
331	0.164665516
332	0.1646499119
333	0.1646404844
334	0.1646325757
335	0.1646188513
336	0.1646098575
337	0.1645997424
338	0.1645958399
339	0.1645952748
340	0.1645867262
341	0.164581494
342	0.1645720461
343	0.1645622848
344	0.1645520121
345	0.1645430454
346	0.1645332723
347	0.1645235245
348	0.1645081185
349	0.1644968556
350	0.1644918817
351	0.1644773567
352	0.1644677085
353	0.1644563298
354	0.1644480911
