iter	Passed	Remaining
0	173	172889
1	190	94860
2	199	66307
3	208	51895
4	216	43182
5	225	37403
6	233	33191
7	242	30115
8	250	27601
9	259	25652
10	266	23981
11	275	22654
12	282	21475
13	291	20502
14	299	19648
15	306	18877
16	314	18205
17	322	17599
18	330	17075
19	338	16578
20	346	16132
21	353	15720
22	361	15354
23	369	15006
24	376	14690
25	384	14391
26	392	14149
27	400	13897
28	408	13670
29	416	13454
30	424	13257
31	431	13053
32	439	12881
33	446	12699
34	455	12552
35	462	12397
36	471	12276
37	479	12138
38	487	12015
39	494	11875
40	502	11759
41	510	11647
42	518	11534
43	525	11424
44	533	11320
45	540	11216
46	548	11114
47	555	11018
48	563	10934
49	570	10845
50	578	10771
51	586	10689
52	593	10613
53	601	10530
54	609	10471
55	616	10399
56	624	10334
57	631	10259
58	639	10195
59	646	10126
60	654	10081
61	662	10016
62	669	9964
63	677	9904
64	685	9857
65	692	9802
66	700	9753
67	707	9699
68	715	9651
69	723	9607
70	730	9562
71	738	9512
72	745	9471
73	752	9419
74	760	9378
75	767	9334
76	775	9297
77	783	9257
78	791	9231
79	799	9199
80	808	9168
81	815	9128
82	823	9094
83	830	9060
84	838	9026
85	845	8988
86	853	8956
87	860	8922
88	869	8900
89	877	8870
90	886	8851
91	894	8831
92	902	8797
93	909	8763
94	916	8728
95	923	8697
96	931	8668
97	938	8635
98	945	8607
99	953	8577
100	960	8553
101	968	8528
102	976	8500
103	983	8473
104	991	8451
105	998	8420
106	1007	8406
107	1014	8378
108	1023	8364
109	1031	8345
110	1038	8321
111	1045	8292
112	1053	8272
113	1061	8253
114	1069	8227
115	1077	8208
116	1084	8187
117	1092	8167
118	1100	8148
119	1109	8133
120	1117	8116
121	1125	8100
122	1133	8080
123	1141	8066
124	1150	8052
125	1159	8039
126	1166	8020
127	1175	8005
128	1181	7980
129	1190	7964
130	1197	7942
131	1204	7923
132	1212	7901
133	1220	7890
134	1228	7869
135	1236	7853
136	1243	7835
137	1252	7822
138	1258	7797
139	1266	7778
140	1273	7758
141	1281	7740
142	1288	7721
143	1295	7703
144	1302	7681
145	1311	7669
146	1318	7651
147	1325	7632
148	1332	7611
149	1340	7598
150	1347	7578
151	1355	7563
152	1363	7547
153	1371	7532
154	1377	7511
155	1385	7493
156	1391	7472
157	1398	7451
158	1405	7435
159	1413	7418
160	1421	7406
161	1427	7385
162	1435	7372
163	1443	7356
164	1451	7345
165	1459	7331
166	1467	7320
167	1474	7304
168	1482	7290
169	1488	7269
170	1496	7255
171	1504	7240
172	1511	7227
173	1519	7212
174	1526	7195
175	1533	7180
176	1541	7168
177	1549	7154
178	1557	7142
179	1563	7122
180	1572	7114
181	1579	7101
182	1586	7084
183	1593	7065
184	1601	7054
185	1607	7036
186	1615	7023
187	1623	7013
188	1631	7002
189	1639	6988
190	1647	6979
191	1654	6961
192	1663	6955
193	1671	6942
194	1679	6933
195	1687	6922
196	1695	6912
197	1702	6896
198	1711	6886
199	1717	6869
200	1725	6860
201	1733	6849
202	1742	6839
203	1748	6823
204	1756	6813
205	1763	6795
206	1770	6783
207	1778	6770
208	1786	6760
209	1793	6748
210	1800	6733
211	1808	6720
212	1816	6710
213	1823	6699
214	1831	6688
215	1838	6673
216	1847	6666
217	1854	6653
218	1862	6643
219	1870	6631
220	1879	6623
221	1885	6608
222	1893	6597
223	1901	6585
224	1909	6576
225	1916	6563
226	1924	6554
227	1932	6542
228	1940	6533
229	1947	6521
230	1955	6511
231	1963	6501
232	1971	6491
233	1979	6478
234	1987	6469
235	1994	6457
236	2002	6446
237	2010	6436
238	2018	6427
239	2025	6413
240	2033	6404
241	2040	6391
242	2047	6379
243	2055	6368
244	2062	6356
245	2069	6344
246	2077	6334
247	2084	6322
248	2093	6312
249	2100	6302
250	2110	6296
251	2117	6286
252	2126	6278
253	2134	6269
254	2142	6259
255	2151	6252
256	2158	6239
257	2166	6230
258	2174	6219
259	2181	6209
260	2189	6198
261	2197	6190
262	2205	6179
263	2212	6169
264	2220	6157
265	2228	6148
266	2235	6137
267	2244	6131
268	2252	6120
269	2260	6112
270	2268	6101
271	2275	6091
272	2283	6080
273	2291	6070
274	2298	6058
275	2306	6049
276	2313	6038
277	2320	6027
278	2328	6017
279	2337	6010
280	2346	6003
281	2354	5994
282	2363	5987
283	2371	5979
284	2380	5971
285	2387	5960
286	2395	5952
287	2403	5941
288	2411	5932
289	2418	5921
290	2426	5912
291	2435	5905
292	2444	5897
293	2451	5887
294	2458	5876
295	2465	5864
296	2473	5853
297	2480	5842
298	2487	5832
299	2495	5822
300	2502	5812
301	2510	5801
302	2518	5793
303	2525	5782
304	2533	5772
305	2540	5761
306	2548	5751
307	2555	5742
308	2564	5733
309	2571	5723
310	2579	5713
311	2587	5705
312	2596	5699
313	2602	5686
314	2611	5680
315	2619	5671
316	2628	5663
317	2635	5653
318	2642	5640
319	2648	5628
320	2656	5619
321	2664	5611
322	2672	5600
323	2680	5592
324	2688	5583
325	2695	5573
326	2703	5564
327	2711	5554
328	2718	5544
329	2726	5534
330	2734	5526
331	2741	5515
332	2749	5507
333	2755	5495
334	2764	5487
335	2772	5479
336	2780	5470
337	2788	5460
338	2795	5451
339	2803	5441
340	2811	5433
341	2818	5423
342	2827	5415
343	2834	5405
344	2842	5396
345	2849	5386
346	2856	5376
347	2864	5366
348	2873	5360
349	2880	5350
350	2887	5339
351	2894	5329
352	2903	5320
353	2910	5311
354	2918	5302
355	2925	5292
356	2932	5281
357	2940	5272
358	2949	5266
359	2957	5257
360	2964	5247
361	2971	5237
362	2979	5227
363	2986	5217
364	2993	5207
365	3001	5200
366	3010	5192
367	3018	5184
368	3026	5175
369	3034	5166
370	3041	5156
371	3048	5146
372	3055	5136
373	3063	5127
374	3071	5119
375	3079	5110
376	3087	5102
377	3096	5095
378	3103	5085
379	3111	5076
380	3118	5067
381	3126	5058
382	3135	5051
383	3142	5040
384	3150	5032
385	3157	5021
386	3166	5015
387	3173	5006
388	3182	4998
389	3191	4991
390	3198	4981
391	3206	4973
392	3214	4964
393	3220	4954
394	3228	4944
395	3235	4934
396	3243	4925
397	3250	4916
398	3258	4908
399	3266	4899
400	3273	4890
401	3281	4880
402	3289	4872
403	3296	4862
404	3303	4853
405	3310	4844
406	3320	4838
407	3328	4830
408	3336	4821
409	3343	4811
410	3351	4803
411	3357	4792
412	3365	4783
413	3373	4774
414	3380	4765
415	3388	4757
416	3396	4748
417	3404	4740
418	3411	4730
419	3419	4721
420	3426	4712
421	3433	4702
422	3441	4694
423	3448	4685
424	3456	4676
425	3464	4667
426	3472	4660
427	3480	4651
428	3488	4643
429	3496	4635
430	3504	4626
431	3513	4619
432	3521	4611
433	3530	4603
434	3537	4594
435	3546	4587
436	3554	4579
437	3563	4572
438	3572	4564
439	3579	4556
440	3589	4549
441	3596	4540
442	3605	4533
443	3613	4524
444	3621	4516
445	3629	4508
446	3636	4499
447	3644	4490
448	3652	4482
449	3660	4473
450	3668	4466
451	3676	4457
452	3684	4449
453	3692	4440
454	3701	4433
455	3709	4424
456	3716	4415
457	3723	4406
458	3731	4398
459	3738	4388
460	3746	4380
461	3752	4370
462	3761	4362
463	3767	4352
464	3776	4345
465	3785	4337
466	3793	4329
467	3800	4319
468	3808	4312
469	3816	4303
470	3825	4296
471	3832	4287
472	3841	4280
473	3849	4271
474	3856	4262
475	3863	4252
476	3872	4245
477	3879	4236
478	3888	4229
479	3897	4221
480	3903	4212
481	3911	4203
482	3919	4195
483	3927	4187
484	3935	4178
485	3943	4170
486	3951	4161
487	3959	4154
488	3967	4145
489	3975	4138
490	3983	4129
491	3992	4122
492	3999	4113
493	4008	4105
494	4016	4097
495	4024	4089
496	4033	4082
497	4040	4073
498	4049	4065
499	4057	4057
500	4066	4049
501	4074	4041
502	4082	4033
503	4089	4025
504	4099	4018
505	4106	4009
506	4114	4001
507	4121	3991
508	4129	3983
509	4137	3975
510	4144	3966
511	4153	3958
512	4161	3950
513	4169	3942
514	4177	3934
515	4186	3926
516	4193	3917
517	4203	3911
518	4211	3903
519	4219	3894
520	4228	3887
521	4235	3878
522	4243	3870
523	4251	3862
524	4259	3854
525	4268	3846
526	4276	3838
527	4283	3829
528	4292	3821
529	4299	3812
530	4307	3804
531	4313	3794
532	4323	3787
533	4330	3779
534	4337	3770
535	4345	3761
536	4353	3753
537	4361	3745
538	4368	3736
539	4376	3728
540	4384	3719
541	4391	3711
542	4400	3703
543	4408	3695
544	4416	3686
545	4423	3678
546	4432	3671
547	4439	3661
548	4448	3654
549	4455	3645
550	4465	3638
551	4473	3630
552	4480	3621
553	4489	3614
554	4496	3605
555	4505	3598
556	4514	3590
557	4522	3582
558	4529	3573
559	4537	3565
560	4544	3556
561	4552	3547
562	4559	3539
563	4568	3531
564	4576	3523
565	4585	3515
566	4593	3507
567	4601	3499
568	4609	3491
569	4618	3483
570	4626	3475
571	4633	3467
572	4641	3458
573	4650	3451
574	4658	3443
575	4667	3435
576	4676	3428
577	4684	3420
578	4693	3412
579	4701	3404
580	4709	3396
581	4718	3388
582	4726	3380
583	4734	3372
584	4742	3364
585	4751	3356
586	4757	3347
587	4766	3339
588	4774	3331
589	4782	3323
590	4791	3315
591	4800	3308
592	4808	3300
593	4818	3293
594	4826	3285
595	4834	3276
596	4842	3268
597	4850	3260
598	4858	3252
599	4865	3243
600	4872	3234
601	4879	3226
602	4888	3218
603	4896	3210
604	4904	3202
605	4912	3193
606	4920	3185
607	4926	3176
608	4934	3168
609	4941	3159
610	4949	3151
611	4956	3142
612	4964	3134
613	4972	3126
614	4980	3117
615	4987	3109
616	4995	3100
617	5002	3092
618	5011	3084
619	5019	3076
620	5028	3069
621	5037	3061
622	5045	3053
623	5053	3044
624	5060	3036
625	5068	3028
626	5076	3019
627	5084	3011
628	5092	3003
629	5101	2995
630	5107	2987
631	5116	2979
632	5122	2970
633	5130	2961
634	5137	2953
635	5145	2945
636	5153	2936
637	5160	2928
638	5168	2919
639	5175	2911
640	5183	2903
641	5191	2894
642	5199	2886
643	5207	2878
644	5215	2870
645	5223	2862
646	5232	2854
647	5241	2847
648	5249	2838
649	5257	2831
650	5265	2822
651	5273	2814
652	5281	2806
653	5290	2798
654	5297	2790
655	5306	2782
656	5314	2774
657	5321	2766
658	5328	2757
659	5336	2749
660	5343	2740
661	5351	2732
662	5358	2723
663	5368	2716
664	5376	2708
665	5385	2700
666	5392	2692
667	5401	2684
668	5409	2676
669	5418	2668
670	5425	2660
671	5433	2651
672	5441	2643
673	5448	2635
674	5456	2627
675	5464	2619
676	5472	2610
677	5479	2602
678	5488	2594
679	5495	2586
680	5503	2578
681	5510	2569
682	5518	2561
683	5526	2553
684	5534	2545
685	5541	2536
686	5549	2528
687	5556	2519
688	5565	2512
689	5572	2503
690	5579	2495
691	5587	2486
692	5595	2478
693	5602	2470
694	5611	2462
695	5618	2454
696	5627	2446
697	5635	2438
698	5643	2430
699	5651	2421
700	5658	2413
701	5667	2405
702	5675	2397
703	5683	2389
704	5692	2381
705	5700	2373
706	5709	2366
707	5717	2358
708	5725	2350
709	5734	2342
710	5741	2333
711	5749	2325
712	5757	2317
713	5765	2309
714	5774	2301
715	5781	2293
716	5789	2285
717	5797	2276
718	5805	2268
719	5812	2260
720	5821	2252
721	5828	2244
722	5835	2235
723	5842	2227
724	5849	2218
725	5857	2210
726	5864	2202
727	5874	2194
728	5881	2186
729	5889	2178
730	5897	2170
731	5904	2161
732	5911	2153
733	5920	2145
734	5927	2137
735	5935	2129
736	5943	2121
737	5951	2112
738	5959	2104
739	5966	2096
740	5973	2087
741	5981	2079
742	5989	2071
743	5996	2063
744	6005	2055
745	6013	2047
746	6021	2039
747	6028	2031
748	6036	2022
749	6043	2014
750	6051	2006
751	6058	1998
752	6066	1990
753	6075	1982
754	6083	1974
755	6090	1965
756	6097	1957
757	6105	1949
758	6114	1941
759	6121	1933
760	6130	1925
761	6137	1917
762	6145	1908
763	6153	1900
764	6161	1892
765	6169	1884
766	6177	1876
767	6185	1868
768	6193	1860
769	6200	1852
770	6210	1844
771	6216	1836
772	6224	1827
773	6232	1819
774	6241	1811
775	6249	1803
776	6257	1795
777	6265	1787
778	6272	1779
779	6281	1771
780	6288	1763
781	6294	1754
782	6302	1746
783	6310	1738
784	6318	1730
785	6327	1722
786	6334	1714
787	6343	1706
788	6351	1698
789	6359	1690
790	6367	1682
791	6376	1674
792	6384	1666
793	6392	1658
794	6399	1650
795	6406	1641
796	6414	1633
797	6421	1625
798	6428	1617
799	6436	1609
800	6444	1601
801	6453	1593
802	6462	1585
803	6470	1577
804	6480	1569
805	6487	1561
806	6495	1553
807	6503	1545
808	6512	1537
809	6519	1529
810	6527	1521
811	6535	1513
812	6544	1505
813	6552	1497
814	6561	1489
815	6569	1481
816	6576	1473
817	6584	1464
818	6592	1456
819	6600	1448
820	6608	1440
821	6616	1432
822	6623	1424
823	6632	1416
824	6639	1408
825	6648	1400
826	6656	1392
827	6665	1384
828	6673	1376
829	6681	1368
830	6689	1360
831	6699	1352
832	6707	1344
833	6714	1336
834	6722	1328
835	6729	1320
836	6738	1312
837	6745	1303
838	6752	1295
839	6760	1287
840	6769	1279
841	6777	1271
842	6784	1263
843	6793	1255
844	6801	1247
845	6809	1239
846	6816	1231
847	6824	1223
848	6832	1215
849	6839	1207
850	6848	1199
851	6855	1190
852	6863	1182
853	6870	1174
854	6877	1166
855	6885	1158
856	6894	1150
857	6901	1142
858	6910	1134
859	6917	1126
860	6926	1118
861	6934	1110
862	6943	1102
863	6950	1094
864	6958	1086
865	6967	1078
866	6977	1070
867	6985	1062
868	6994	1054
869	7002	1046
870	7010	1038
871	7020	1030
872	7028	1022
873	7037	1014
874	7044	1006
875	7052	998
876	7059	990
877	7067	981
878	7075	973
879	7082	965
