iter	Logloss
0	0.5925998767
1	0.510876224
2	0.4433856774
3	0.3902013653
4	0.3507234762
5	0.3129791653
6	0.282380708
7	0.2593897538
8	0.2400831151
9	0.2247434115
10	0.2120966244
11	0.2006892356
12	0.1912323255
13	0.1832906055
14	0.1773016107
15	0.1722191236
16	0.1676791253
17	0.1642097487
18	0.161073624
19	0.158453728
20	0.1560609299
21	0.1538445902
22	0.152105529
23	0.1504097994
24	0.1492315993
25	0.1479552853
26	0.1472152313
27	0.1461923103
28	0.1453893511
29	0.1445249787
30	0.1439131418
31	0.1432833853
32	0.1427914341
33	0.1423970645
34	0.1419363205
35	0.1414971805
36	0.1411258584
37	0.1407865601
38	0.1403946344
39	0.1400800521
40	0.1398030703
41	0.1395132633
42	0.1392525207
43	0.1390511039
44	0.1388562113
45	0.1386115584
46	0.1383875445
47	0.1382599792
48	0.1380919816
49	0.1379054414
50	0.1376707804
51	0.1374796951
52	0.1373218628
53	0.1372158991
54	0.1371297787
55	0.1369761318
56	0.1368501908
57	0.1367459774
58	0.1365995074
59	0.1365152385
60	0.1363886961
61	0.1362810624
62	0.1361245886
63	0.1359781363
64	0.135873902
65	0.1357768391
66	0.1356674608
67	0.1355568452
68	0.135441821
69	0.1353295266
70	0.1352259475
71	0.1351414015
72	0.1350438617
73	0.1349534305
74	0.1348404063
75	0.1347716153
76	0.1346950909
77	0.1346128789
78	0.1345313655
79	0.1344751259
80	0.1343687335
81	0.1342958751
82	0.1341947777
83	0.1340934001
84	0.1340113045
85	0.1339404131
86	0.1338689445
87	0.1337540552
88	0.1336331804
89	0.1335807586
90	0.1334625349
91	0.1333683037
92	0.1332937512
93	0.1332354169
94	0.133170104
95	0.1330635133
96	0.1330106844
97	0.1329428617
98	0.1328725974
99	0.1328026968
100	0.1327305224
101	0.132642011
102	0.1326004586
103	0.1325491335
104	0.1324962549
105	0.1324436002
106	0.1323854723
107	0.1323233821
108	0.1322426161
109	0.1321702427
110	0.1320953722
111	0.1319960131
112	0.13194536
113	0.1318685618
114	0.1318099185
115	0.1317444899
116	0.1316708335
117	0.1316352152
118	0.1315729476
119	0.1314938042
120	0.1314285363
121	0.1313772577
122	0.131329638
123	0.1312566993
124	0.1312111509
125	0.1311628061
126	0.1311008765
127	0.1310035109
128	0.1309186157
129	0.1308615813
130	0.1307830433
131	0.1307166377
132	0.1306478531
133	0.1305973983
134	0.1305572389
135	0.1304895752
136	0.1304355725
137	0.1303853273
138	0.1303506066
139	0.1303115327
140	0.130263607
141	0.1301825399
142	0.1301392011
143	0.1300840222
144	0.1300215145
145	0.1299681943
146	0.1299108508
147	0.1298650062
148	0.1298092066
149	0.1297670528
150	0.1297074203
151	0.1296654833
152	0.1295974832
153	0.1295336138
154	0.1294765722
155	0.129434062
156	0.1293533731
157	0.1293087416
158	0.1292489533
159	0.1291969586
160	0.1291437877
161	0.1290991667
162	0.1290561073
163	0.1290005558
164	0.1289324119
165	0.1288653439
166	0.1288088643
167	0.1287657029
168	0.1287116673
169	0.128675369
170	0.1285703463
171	0.1285156563
172	0.1284655484
173	0.1284154332
174	0.1283456675
175	0.1283042316
176	0.1282475577
177	0.1282083673
178	0.128156742
179	0.1281143056
180	0.1280671973
181	0.128025681
182	0.1279825501
183	0.1279301291
184	0.1278778767
185	0.127836749
186	0.1277748307
187	0.1277345219
188	0.127687025
189	0.1276341278
190	0.1275821428
191	0.1275493643
192	0.1275076858
193	0.127460339
194	0.1274020289
195	0.1273260344
196	0.1272781497
197	0.1272482326
198	0.1271937602
199	0.1271259512
200	0.1270556018
201	0.1270191172
202	0.1269681807
203	0.1269064663
204	0.1268455901
205	0.126812871
206	0.1267442293
207	0.1266840749
208	0.1266354548
209	0.1265851116
210	0.1265349306
211	0.1264942309
212	0.1264503035
213	0.1263761549
214	0.126286562
215	0.126234927
216	0.1262027884
217	0.1261568362
218	0.1261230557
219	0.126064047
220	0.126025283
221	0.12598232
222	0.1259381839
223	0.1258770018
224	0.125834783
225	0.1257925963
226	0.1257475321
227	0.1257147022
228	0.1256687621
229	0.1256076145
230	0.125556006
231	0.1254996348
232	0.125457632
233	0.1254120475
234	0.1253629842
235	0.1253339768
236	0.1252846396
237	0.1252409813
238	0.1251978938
239	0.1251468866
240	0.125100032
241	0.125043061
242	0.1249993368
243	0.1249603488
244	0.1249169072
245	0.1248676327
246	0.1247965294
247	0.1247442272
248	0.124692548
249	0.1246494405
250	0.124595575
251	0.1245606609
252	0.1245267592
253	0.1244731322
254	0.1244464412
255	0.1243984095
256	0.1243650441
257	0.1243195295
258	0.1242692722
259	0.1242164385
260	0.1241716392
261	0.1241391064
262	0.1240896111
263	0.1240494043
264	0.1240066155
265	0.1239654798
266	0.1239072595
267	0.1238551123
268	0.1238108277
269	0.1237699602
270	0.1237399299
271	0.1237094485
272	0.1236736961
273	0.1236297808
274	0.1235598987
275	0.123519985
276	0.1234755061
277	0.1234165159
278	0.1233755897
279	0.1233342308
280	0.1232727276
281	0.1232026415
282	0.1231650208
283	0.1231280722
284	0.1230926241
285	0.1230369939
286	0.1229652612
287	0.1229015757
288	0.1228300436
289	0.1227732188
290	0.122700822
291	0.1226511027
292	0.1225820074
293	0.1225291721
294	0.1224891942
295	0.1224245332
296	0.1223760985
297	0.1223262916
298	0.1222783523
299	0.1222206058
300	0.1221639551
301	0.1221093422
302	0.1220370884
303	0.1219625825
304	0.1219223163
305	0.1218857337
306	0.1218454635
307	0.1217864681
308	0.121745061
309	0.1217115166
310	0.1216585845
311	0.1216221377
312	0.1215605296
313	0.1215177468
314	0.1214854802
315	0.1214335742
316	0.1213880969
317	0.1213426337
318	0.1212831569
319	0.1212538039
320	0.1212066883
321	0.1211730291
322	0.1211146948
323	0.1210986821
324	0.1210366237
325	0.1209999853
326	0.1209463371
327	0.1208824328
328	0.1208534825
329	0.1208168911
330	0.1207616708
331	0.1207259221
332	0.1206722028
333	0.1206280739
334	0.1205932408
335	0.1205455689
336	0.1204983493
337	0.1204610044
338	0.1204238763
339	0.1203838887
340	0.1203387491
341	0.1202931112
342	0.120261423
343	0.1202168128
344	0.1201743592
345	0.1201274235
346	0.1201033514
347	0.1200582346
348	0.1199833305
349	0.1199407588
350	0.1199119686
351	0.1198761452
352	0.1198396385
353	0.1198011921
354	0.1197550853
355	0.1197169408
356	0.1196737902
357	0.1196332559
358	0.1195909359
359	0.1195707719
360	0.1195352861
361	0.1194986847
362	0.1194548625
363	0.119403091
364	0.1193595033
365	0.1192900375
366	0.1192354402
367	0.119192046
368	0.1191526153
369	0.1191204602
370	0.1190744723
371	0.1190396954
372	0.1190049274
373	0.1189639631
374	0.1189341191
375	0.1188917048
376	0.1188573318
377	0.1188009505
378	0.1187492312
379	0.1186995023
380	0.1186725615
381	0.1186381251
382	0.1185839819
383	0.1185332064
384	0.1185061091
385	0.1184629766
386	0.1184230637
387	0.1183735479
388	0.1183265118
389	0.1182901468
390	0.1182527048
391	0.1182209492
392	0.1181660059
393	0.1181199951
394	0.1180987303
395	0.118066515
396	0.1180256302
397	0.1179757784
398	0.1179314115
399	0.1178939366
400	0.1178666141
401	0.1178154387
402	0.117790278
403	0.1177534024
404	0.1177033691
405	0.1176621427
406	0.1176272815
407	0.1175897299
408	0.1175389307
409	0.1175047495
410	0.1174638346
411	0.117413353
412	0.1173785978
413	0.1173320029
414	0.1173058959
415	0.1172700163
416	0.1172350074
417	0.1172079799
418	0.1171663902
419	0.1171327819
420	0.1170874829
421	0.1170398799
422	0.1170014636
423	0.1169500723
424	0.1169145796
425	0.1168698141
426	0.116823346
427	0.1167789932
428	0.1167543796
429	0.1167298945
430	0.1166760467
431	0.1166318035
432	0.1165811612
433	0.116569167
434	0.1165264436
435	0.1164833099
436	0.1164456234
437	0.1164071376
438	0.1163702291
439	0.1163347481
440	0.1162717021
441	0.1162405342
442	0.1161818422
443	0.1161535502
444	0.1161163141
445	0.1160863373
446	0.116055399
447	0.1160368356
448	0.115981089
449	0.1159387775
450	0.1159120266
451	0.1158834054
452	0.1158431148
453	0.1158174065
454	0.1157884453
455	0.1157459114
456	0.1157166278
457	0.1156819348
458	0.1156503711
459	0.1156095485
460	0.1155456382
461	0.1155100902
462	0.115474598
463	0.1154494942
464	0.1154219433
465	0.1153892363
466	0.1153158596
467	0.1152902332
468	0.1152433809
469	0.1152159099
470	0.1151810696
471	0.1151421876
472	0.1151075484
473	0.1150559692
474	0.1150123124
475	0.1149770294
476	0.1149418153
477	0.1148960707
478	0.1148424216
479	0.1148137041
480	0.1147866947
481	0.1147481146
482	0.1147172281
483	0.1146811229
484	0.1146455246
485	0.1146075716
486	0.1145652813
487	0.114537009
488	0.1145115813
489	0.1144622811
490	0.1144154722
491	0.114379764
492	0.1143430586
493	0.1143119521
494	0.1142840499
495	0.1142607615
496	0.1142362599
497	0.1141947633
498	0.1141534678
499	0.1141194124
500	0.1140666204
501	0.1140451573
502	0.1140061316
503	0.1139566612
504	0.1139159839
505	0.1138808911
506	0.1138350501
507	0.1138109195
508	0.1137708383
509	0.1137300916
510	0.1136898106
511	0.113647365
512	0.1136121642
513	0.1135709494
514	0.1135246415
515	0.1134912364
516	0.1134285706
517	0.1134044086
518	0.1133593777
519	0.1133168872
520	0.1132894065
521	0.1132590298
522	0.1132235922
523	0.1131936756
524	0.1131640837
525	0.1131296107
526	0.1131007338
527	0.1130692809
528	0.1130222713
529	0.1129883511
530	0.1129494137
531	0.1129261566
532	0.112875874
533	0.1128565968
534	0.1128364974
535	0.1128072946
536	0.1127666402
537	0.1127231456
538	0.112689875
539	0.1126638379
540	0.112638191
541	0.1126027746
542	0.1125602965
543	0.1125422027
544	0.112499623
545	0.112456548
546	0.1124238787
547	0.1123932551
548	0.1123678222
549	0.1123178182
550	0.1122984001
551	0.1122817572
552	0.1122534423
553	0.1122328307
554	0.1121860078
555	0.1121724539
556	0.1121482747
557	0.1121189682
558	0.112091317
559	0.1120614224
560	0.1120126545
561	0.1119728741
562	0.111925952
563	0.1118908961
564	0.1118602015
565	0.1118273218
566	0.1117823861
567	0.1117636143
568	0.1117255436
569	0.1116934371
570	0.1116647465
571	0.1116320495
572	0.1115939944
573	0.1115759336
574	0.1115478395
575	0.1115321945
576	0.1114999596
577	0.1114722465
578	0.1114493479
579	0.1113953608
580	0.1113610849
581	0.1113216827
582	0.1112851065
583	0.1112405702
584	0.1112125079
585	0.1111822605
586	0.1111399722
587	0.1111252654
588	0.1110986755
589	0.1110779467
590	0.111054362
591	0.111018999
592	0.1109777168
593	0.1109414988
594	0.1109042089
595	0.1108712003
596	0.1108482427
597	0.1108239495
598	0.110776123
599	0.11074822
600	0.1107095495
601	0.1106747273
602	0.1106519768
603	0.1106142846
604	0.1105705725
605	0.1105220105
606	0.1105025791
607	0.1104729054
608	0.1104072733
609	0.1103757718
610	0.1103442723
611	0.110317778
612	0.1102998789
613	0.1102592165
614	0.1102283079
615	0.1101668316
616	0.1101364529
617	0.1100987106
618	0.1100552586
619	0.1100317787
620	0.1099835575
621	0.1099495069
622	0.1099209616
623	0.1098948313
624	0.109848352
625	0.1098169674
626	0.1097864417
627	0.1097551121
628	0.1097020584
629	0.1096697343
630	0.1096379654
631	0.1096131343
632	0.1095733362
633	0.1095305012
634	0.1094912679
635	0.1094497034
636	0.1094192156
637	0.1093896542
638	0.1093633947
639	0.1093198118
640	0.1092887355
641	0.1092484287
642	0.1092204675
643	0.1091893249
644	0.1091646884
645	0.1091342327
646	0.1091079816
647	0.1090791196
648	0.1090497232
649	0.1090159207
650	0.108980978
651	0.1089576181
652	0.1089313438
653	0.1089049181
654	0.1088697486
655	0.1088455738
656	0.1088130109
657	0.1087892809
658	0.1087508087
659	0.1087147577
660	0.1086828471
661	0.108656301
662	0.1086317384
663	0.1086096957
664	0.1085931089
665	0.108554192
666	0.1085236218
667	0.108486971
668	0.108452148
669	0.1084256741
670	0.1083881987
671	0.1083458647
672	0.1083036768
673	0.1082760685
674	0.1082530591
675	0.108229358
676	0.1081970953
677	0.1081635192
678	0.1081301321
679	0.1081011508
680	0.108093566
681	0.108073276
682	0.1080432911
683	0.1080107587
684	0.1079738646
685	0.1079528218
686	0.1079217338
687	0.1079162036
688	0.107884645
689	0.1078557272
690	0.1078263449
691	0.1078003765
692	0.1077609409
693	0.1077367733
694	0.1077151276
695	0.1076811431
696	0.1076620815
697	0.1076312644
698	0.1075863074
699	0.1075582017
700	0.1075238869
701	0.1074850049
702	0.1074569927
703	0.1074259372
704	0.1073948114
705	0.1073647394
706	0.1073409002
707	0.1073110764
708	0.1072781923
709	0.1072519513
710	0.1072305279
711	0.1071924095
712	0.1071669119
713	0.1071486568
714	0.1071111537
715	0.1070816261
716	0.1070574465
717	0.1070271256
718	0.1069968505
719	0.1069824351
720	0.1069605646
721	0.1069255192
722	0.1069021071
723	0.1068631857
724	0.1068346645
725	0.1068051048
726	0.1067839954
727	0.1067522683
728	0.106718165
729	0.106693918
730	0.1066689298
731	0.1066355371
732	0.1066039979
733	0.1065702724
734	0.1065433313
735	0.1065043501
736	0.106465493
737	0.1064284708
738	0.1064060668
739	0.1063700872
740	0.1063541162
741	0.1063357973
742	0.1063027715
743	0.1062779002
744	0.1062525182
745	0.10621601
746	0.1061846489
747	0.106158304
748	0.1061286386
749	0.1060863616
750	0.1060682679
751	0.1060445531
752	0.1060104354
753	0.1059848106
754	0.1059460823
755	0.1059345762
756	0.1059005721
757	0.105868401
758	0.1058376683
759	0.1058169695
760	0.1057576915
761	0.105726689
762	0.1056962978
763	0.1056621966
764	0.1056356513
765	0.1056174828
766	0.1055844948
767	0.1055482844
768	0.1055112402
769	0.1054846728
770	0.1054677689
771	0.1054308881
772	0.1054011408
773	0.1053566475
774	0.1053123769
775	0.1052861347
776	0.1052566119
777	0.1052419288
778	0.1052380376
779	0.1052058115
780	0.105165677
781	0.1051331666
782	0.1051062135
783	0.1050803887
784	0.1050579746
785	0.1050300492
786	0.1050011883
787	0.1049715222
788	0.1049450949
789	0.1049189426
790	0.1048941263
791	0.1048700712
792	0.1048532343
793	0.1048354087
794	0.104809604
795	0.1047837532
796	0.1047430511
797	0.1047163612
798	0.1046595456
799	0.1046275708
800	0.1046114947
801	0.1045805215
802	0.1045539264
803	0.1045230748
804	0.1045013584
805	0.1044755036
806	0.1044359933
807	0.1044002638
808	0.1043518741
809	0.1043173457
810	0.1042983262
811	0.1042727688
812	0.1042416334
813	0.1042267335
814	0.1042048767
815	0.1041798833
816	0.1041497387
817	0.1041327593
818	0.1040994883
819	0.1040652642
820	0.1040321071
821	0.1039981476
822	0.1039700932
823	0.1039556177
824	0.1039175522
825	0.1038852165
826	0.1038631147
827	0.1038422988
828	0.1038131248
829	0.1037788955
830	0.1037592209
831	0.1037319987
832	0.1037148736
833	0.1036968718
834	0.1036547092
835	0.1036210335
836	0.1035976122
837	0.1035682259
838	0.1035290709
839	0.1035040555
840	0.1034700361
841	0.1034409782
842	0.1034183521
843	0.1034026863
844	0.1033760635
845	0.1033378683
846	0.1033120721
847	0.103292167
848	0.1032732419
849	0.1032584504
850	0.1032293354
851	0.1032076456
852	0.1031945317
853	0.1031650117
854	0.1031334648
855	0.1031084209
856	0.1030874652
857	0.1030589316
858	0.1030401108
859	0.103014533
860	0.1029854417
861	0.1029600349
862	0.1029362165
863	0.1029073421
864	0.1028853672
865	0.1028647933
866	0.1028369979
867	0.1028138572
868	0.1027834769
869	0.1027634462
870	0.1027225337
871	0.1026960598
872	0.1026657944
873	0.1026298384
874	0.1026078162
875	0.1025789883
876	0.1025583321
877	0.1025279145
878	0.1025013724
879	0.102472147
880	0.1024422075
881	0.1024038084
882	0.1023740865
883	0.1023486187
884	0.1023279886
885	0.1022970965
886	0.1022568797
887	0.1022339509
888	0.102206461
889	0.1021897366
890	0.102167801
891	0.1021401305
892	0.1021158665
893	0.1020915011
894	0.1020663684
895	0.1020355249
896	0.1020050896
897	0.1019625605
898	0.1019361356
899	0.1019217206
900	0.1019041833
901	0.1018682205
902	0.1018479506
903	0.1018242543
904	0.1018134029
905	0.1017778749
906	0.1017578386
907	0.1017367388
908	0.1017132453
909	0.1016784692
910	0.1016528576
911	0.1016159732
912	0.1015902223
913	0.1015658472
914	0.1015265172
915	0.101494723
916	0.1014692303
917	0.1014540394
918	0.1014502289
919	0.1014167117
920	0.1013972438
921	0.1013694155
922	0.1013506144
923	0.1013198323
924	0.1012890485
925	0.1012573146
926	0.1012344156
927	0.1012156915
928	0.1011924754
