iter	Passed	Remaining
0	218	217869
1	241	120698
2	265	88381
3	288	71901
4	310	61872
5	334	55486
6	358	50896
7	381	47350
8	404	44560
9	428	42401
10	452	40683
11	476	39223
12	499	37952
13	523	36836
14	544	35778
15	569	34993
16	592	34256
17	615	33566
18	638	32963
19	661	32420
20	684	31913
21	707	31430
22	729	31004
23	753	30654
24	775	30253
25	799	29937
26	821	29597
27	845	29352
28	867	29040
29	891	28812
30	914	28571
31	937	28354
32	960	28158
33	982	27903
34	1005	27720
35	1029	27579
36	1052	27405
37	1075	27237
38	1098	27063
39	1122	26936
40	1147	26836
41	1171	26721
42	1196	26633
43	1219	26497
44	1244	26419
45	1270	26344
46	1295	26260
47	1317	26138
48	1343	26077
49	1367	25989
50	1393	25931
51	1418	25856
52	1439	25713
53	1463	25631
54	1484	25507
55	1507	25409
56	1529	25310
57	1552	25213
58	1575	25125
59	1597	25022
60	1619	24929
61	1643	24863
62	1666	24783
63	1689	24710
64	1712	24628
65	1734	24541
66	1756	24465
67	1778	24380
68	1802	24314
69	1823	24225
70	1846	24154
71	1868	24083
72	1891	24018
73	1913	23944
74	1936	23882
75	1957	23801
76	1981	23752
77	2006	23711
78	2027	23637
79	2051	23594
80	2075	23543
81	2096	23469
82	2117	23396
83	2141	23354
84	2164	23300
85	2187	23250
86	2210	23195
87	2233	23147
88	2256	23102
89	2277	23032
90	2300	22980
91	2323	22929
92	2346	22885
93	2367	22822
94	2389	22761
95	2413	22730
96	2435	22676
97	2459	22635
98	2482	22592
99	2504	22538
100	2526	22488
101	2550	22452
102	2572	22400
103	2594	22348
104	2615	22297
105	2636	22238
106	2661	22216
107	2683	22163
108	2706	22126
109	2728	22077
110	2751	22036
111	2774	21993
112	2798	21963
113	2820	21921
114	2843	21880
115	2866	21842
116	2888	21801
117	2912	21773
118	2934	21723
119	2956	21683
120	2978	21637
121	3000	21592
122	3025	21574
123	3049	21540
124	3070	21494
125	3091	21445
126	3113	21398
127	3135	21361
128	3158	21324
129	3179	21279
130	3201	21236
131	3224	21205
132	3247	21168
133	3268	21125
134	3290	21085
135	3312	21044
136	3335	21013
137	3357	20969
138	3377	20922
139	3399	20881
140	3421	20842
141	3444	20810
142	3469	20790
143	3494	20771
144	3519	20754
145	3544	20730
146	3569	20715
147	3595	20697
148	3619	20669
149	3641	20637
150	3667	20618
151	3692	20601
152	3718	20584
153	3741	20552
154	3765	20526
155	3787	20490
156	3809	20456
157	3831	20421
158	3853	20384
159	3875	20345
160	3897	20311
161	3918	20269
162	3939	20229
163	3961	20192
164	3984	20165
165	4008	20136
166	4031	20109
167	4051	20066
168	4073	20030
169	4096	20002
170	4120	19976
171	4142	19940
172	4163	19904
173	4186	19876
174	4210	19848
175	4231	19811
176	4252	19774
177	4274	19738
178	4294	19698
179	4316	19664
180	4338	19632
181	4359	19592
182	4379	19551
183	4401	19519
184	4421	19478
185	4443	19447
186	4465	19413
187	4486	19376
188	4508	19346
189	4531	19318
190	4552	19280
191	4572	19244
192	4595	19213
193	4616	19179
194	4637	19144
195	4660	19116
196	4681	19082
197	4701	19043
198	4724	19015
199	4745	18982
200	4767	18952
201	4788	18916
202	4810	18884
203	4830	18849
204	4853	18820
205	4873	18784
206	4895	18753
207	4916	18719
208	4938	18689
209	4959	18657
210	4980	18623
211	5004	18601
212	5026	18572
213	5050	18550
214	5072	18522
215	5094	18490
216	5115	18459
217	5137	18427
218	5157	18391
219	5178	18361
220	5199	18328
221	5222	18300
222	5243	18271
223	5266	18244
224	5287	18210
225	5308	18180
226	5331	18153
227	5352	18121
228	5372	18087
229	5394	18059
230	5416	18032
231	5438	18002
232	5460	17973
233	5480	17942
234	5502	17913
235	5524	17885
236	5548	17861
237	5570	17835
238	5591	17802
239	5612	17772
240	5633	17742
241	5655	17715
242	5676	17682
243	5697	17654
244	5720	17628
245	5743	17602
246	5765	17577
247	5791	17560
248	5816	17544
249	5840	17521
250	5863	17497
251	5885	17469
252	5910	17450
253	5933	17427
254	5956	17402
255	5981	17384
256	6005	17363
257	6029	17340
258	6053	17319
259	6078	17301
260	6102	17279
261	6127	17259
262	6150	17234
263	6172	17206
264	6195	17182
265	6216	17154
266	6238	17127
267	6261	17101
268	6282	17072
269	6304	17044
270	6323	17010
271	6344	16981
272	6365	16952
273	6387	16925
274	6411	16903
275	6433	16875
276	6454	16847
277	6477	16821
278	6498	16792
279	6521	16768
280	6543	16742
281	6566	16718
282	6587	16688
283	6608	16659
284	6628	16628
285	6649	16601
286	6671	16573
287	6692	16546
288	6715	16520
289	6737	16496
290	6760	16471
291	6782	16445
292	6806	16422
293	6828	16397
294	6849	16369
295	6872	16345
296	6894	16320
297	6917	16296
298	6938	16267
299	6961	16242
300	6985	16220
301	7008	16199
302	7033	16179
303	7055	16154
304	7079	16132
305	7101	16106
306	7125	16085
307	7150	16065
308	7171	16038
309	7193	16010
310	7215	15985
311	7237	15959
312	7260	15935
313	7281	15908
314	7302	15879
315	7323	15852
316	7345	15825
