"customer_id","revenue","most_recent_visit","number_of_orders","recency_days"
22086,777,2006-05-14,9,232
2290,1555,2006-09-08,16,115
26377,336,2006-11-19,5,43
24650,1189,2006-10-29,12,64
12883,1229,2006-12-09,12,23
2119,929,2006-10-21,11,72
31283,1569,2006-09-11,17,112
33815,778,2006-08-12,11,142
15972,641,2006-11-19,9,43
27650,970,2006-08-23,10,131
4168,730,2006-04-10,9,266
23375,798,2005-12-26,9,371
7460,980,2006-09-27,10,96
31412,1596,2006-07-15,14,170
4298,1105,2006-02-02,13,333
11217,673,2006-08-28,7,126
27435,793,2006-12-14,7,18
22756,652,2006-04-30,8,246
14737,1081,2006-08-21,12,133
38027,712,2006-07-04,8,181
35527,1060,2006-07-24,11,161
21182,790,2006-08-02,9,152
35926,1248,2006-05-15,13,231
2091,789,2006-03-23,9,284
16555,794,2006-07-29,8,156
7868,700,2006-09-22,10,101
16526,855,2006-08-04,10,150
12370,793,2006-06-14,6,201
32863,793,2006-08-30,11,124
11206,1220,2006-07-31,14,154
16677,220,2005-11-05,5,422
2718,1633,2006-10-15,16,78
35549,812,2006-08-02,9,152
39729,1231,2006-10-16,10,77
16563,1380,2006-10-15,16,78
14317,918,2006-10-12,9,81
27557,981,2006-06-07,10,208
16094,631,2005-11-17,7,410
10725,537,2005-07-12,6,538
27531,1804,2006-11-25,18,37
35774,994,2005-10-03,9,455
18357,1561,2006-11-19,18,43
18377,562,2006-08-16,9,138
12558,909,2006-06-18,10,197
2036,216,2006-12-21,3,11
15489,1185,2006-09-06,11,117
1811,978,2006-09-14,9,109
38345,794,2006-08-15,9,139
6116,450,2006-04-02,7,274
30839,943,2006-11-24,10,38
17548,691,2006-07-21,8,164
31140,1143,2006-08-30,10,124
9338,309,2006-03-23,3,284
5437,1154,2006-08-18,14,136
38672,859,2006-09-15,10,108
6662,1388,2006-07-17,10,168
32799,724,2005-08-10,6,509
23565,1240,2006-03-29,8,278
17474,1256,2005-11-29,11,398
20635,922,2006-10-06,10,87
2057,921,2006-12-22,11,10
10176,370,2006-07-20,5,165
7409,693,2006-02-19,7,316
36111,1068,2006-12-10,13,22
16700,1138,2006-09-05,11,118
6203,394,2006-04-27,7,249
4641,1370,2006-07-09,17,176
38766,1378,2005-12-27,12,370
39138,1460,2006-04-12,14,264
23711,1146,2006-03-17,11,290
29815,1505,2006-11-27,14,35
1552,682,2006-06-12,9,203
14070,1023,2006-11-23,10,39
11698,554,2006-01-07,5,359
2837,1117,2006-10-28,11,65
15039,891,2006-09-14,9,109
35252,1131,2005-12-20,12,377
7414,2031,2006-09-26,18,97
36920,1098,2006-12-20,11,12
2094,940,2006-11-28,10,34
1027,951,2006-09-02,10,121
19104,739,2005-10-02,9,456
22573,1489,2006-10-25,15,68
16910,982,2006-05-28,9,218
28412,1045,2006-07-09,10,176
7025,1089,2006-11-20,11,42
25933,973,2006-09-24,12,99
13586,812,2006-08-21,11,133
18695,1007,2006-09-23,9,100
22278,1093,2006-09-29,11,94
25897,935,2006-07-21,12,164
17131,497,2004-11-13,4,779
33971,541,2006-07-29,9,156
9920,1860,2006-11-08,15,54
34568,1121,2006-08-31,10,123
26537,1078,2006-05-21,11,225
9016,777,2006-05-22,8,224
39972,1236,2006-09-25,12,98
31644,1388,2006-09-28,13,95
3626,613,2006-11-03,5,59
22867,847,2006-10-16,9,77
26253,549,2006-03-30,5,277
14938,968,2006-11-06,9,56
30444,980,2006-07-21,10,164
26680,779,2006-10-20,8,73
18260,719,2006-08-27,6,127
31835,958,2006-06-23,9,192
28602,261,2006-02-11,5,324
38433,1652,2006-08-21,16,133
33465,902,2005-11-02,10,425
22188,735,2006-10-19,9,74
21572,544,2006-04-14,3,262
18108,777,2006-06-03,6,212
29137,707,2005-08-04,7,515
30644,807,2006-05-12,8,234
15440,1028,2006-05-26,9,220
21382,1789,2006-05-10,17,236
269,1339,2006-10-10,13,83
3324,867,2006-02-19,10,316
13234,907,2006-10-26,10,67
18608,1277,2006-07-05,14,180
2327,996,2006-09-20,10,103
20670,770,2006-02-25,7,310
9105,803,2006-03-15,9,292
19342,805,2006-11-23,12,39
31640,924,2005-11-06,9,421
36454,538,2006-03-17,7,290
38816,814,2006-07-31,9,154
19635,891,2006-08-15,12,139
31330,1072,2006-10-15,14,78
8077,1328,2006-11-08,15,54
27347,717,2005-10-25,7,433
35369,1972,2006-09-25,19,98
14603,696,2006-06-07,7,208
14486,1482,2006-10-03,12,90
8631,809,2006-08-18,10,136
32709,1172,2005-12-02,11,395
305,873,2006-09-29,10,94
20591,880,2006-06-21,11,194
1335,957,2006-08-26,11,128
7068,1286,2006-07-08,16,177
35342,1267,2006-12-02,14,30
3357,1276,2006-09-02,12,121
16912,1636,2006-10-07,14,86
2568,1296,2006-07-25,10,160
6229,531,2006-03-12,8,295
25323,1269,2006-06-16,11,199
13459,854,2006-06-06,7,209
7870,690,2006-10-21,7,72
29419,1365,2006-08-25,12,129
8468,1558,2006-11-07,14,55
36430,286,2004-11-08,3,784
34120,1504,2006-08-08,15,146
8391,840,2006-11-22,8,40
9873,1170,2006-10-27,11,66
27524,539,2006-08-05,4,149
3031,1802,2006-12-07,18,25
30183,699,2005-11-28,7,399
31579,797,2006-10-14,8,79
25670,611,2006-10-24,6,69
19918,645,2006-07-01,6,184
7615,1477,2006-08-07,16,147
3256,11,2004-05-30,1,946
1767,662,2006-07-18,8,167
8721,1111,2006-10-15,11,78
11279,608,2006-04-18,9,258
33656,571,2005-07-05,4,545
9346,243,2006-12-03,6,29
13446,406,2005-10-18,5,440
29811,1231,2006-08-21,11,133
17234,1378,2005-12-19,14,378
35229,635,2006-12-29,10,3
19451,760,2006-09-10,10,113
722,1586,2006-08-18,16,136
6787,626,2006-08-03,8,151
32140,709,2006-07-14,9,171
8422,865,2006-12-29,11,3
14498,1024,2006-11-09,13,53
33155,1030,2006-04-29,9,247
19798,1384,2006-04-13,16,263
16692,1746,2006-07-13,13,172
11378,597,2006-05-17,6,229
28246,893,2006-11-26,9,36
37743,1228,2006-06-13,13,202
35359,1103,2006-09-25,14,98
15429,1121,2006-06-01,11,214
22652,1319,2006-08-11,15,143
27115,601,2006-05-05,5,241
5219,482,2006-07-01,9,184
29602,665,2006-10-08,7,85
9847,667,2006-07-29,6,156
39067,904,2006-11-08,11,54
22172,898,2006-10-19,10,74
5151,1064,2006-07-25,12,160
34388,644,2006-11-25,7,37
35476,406,2006-09-30,6,93
26036,969,2006-09-21,9,102
27266,1359,2006-06-04,12,211
33933,717,2006-06-12,9,203
15808,143,2005-04-05,2,636
24956,1356,2006-10-26,13,67
37891,1248,2006-06-22,11,193
14730,658,2006-07-19,7,166
15596,775,2006-12-03,11,29
22757,861,2006-02-09,9,326
12960,461,2006-10-13,6,80
17190,1287,2006-05-17,13,229
7393,527,2006-05-02,7,244
27507,1259,2006-10-25,13,68
38046,912,2006-06-14,10,201
28789,1508,2006-10-10,13,83
33551,807,2005-10-11,9,447
21616,995,2006-10-06,16,87
38869,1436,2006-07-08,13,177
7757,1095,2006-09-28,11,95
20083,1128,2006-10-06,14,87
4697,224,2005-11-29,3,398
19776,1073,2006-09-02,13,121
16705,1439,2006-07-12,16,173
22004,1454,2006-01-12,11,354
10972,1071,2006-09-26,10,97
5936,1118,2006-07-11,11,174
2521,1262,2006-08-30,10,124
31716,1314,2006-06-28,10,187
22410,492,2006-09-09,5,114
37614,1372,2006-08-19,14,135
177,457,2006-01-09,7,357
31226,118,2005-08-07,3,512
396,626,2006-08-03,8,151
10584,1209,2006-06-14,10,201
24522,578,2006-12-07,8,25
20085,886,2006-10-22,12,71
18122,559,2005-09-17,5,471
10914,844,2006-08-22,7,132
31578,1703,2006-02-08,17,327
1658,933,2006-10-03,9,90
31570,769,2006-07-16,9,169
32149,657,2006-10-08,6,85
11336,202,2005-10-21,3,437
3356,932,2006-10-14,9,79
34920,763,2006-11-15,10,47
867,732,2006-07-02,9,183
37814,851,2006-06-30,11,185
33666,1043,2006-09-29,13,94
39210,142,2005-08-14,4,505
21650,635,2006-10-31,13,62
38760,748,2006-12-03,9,29
32778,799,2006-06-11,8,204
29092,1267,2006-04-03,15,273
23007,321,2005-08-20,3,499
26203,1116,2006-11-10,10,52
10910,781,2005-10-14,7,444
