Month,Open Price,High Price,Low Price,Close Price
1991-01-01,215,235,210,235
1991-02-01,230,267.5,230,257.5
1991-03-01,253.75,265,247.5,258.5
1991-04-01,257.5,262.5,230,230
1991-05-01,232.5,247.5,225,235
1991-06-01,235,246.25,227.5,241.25
1991-07-01,237.5,245,230,236.25
1991-08-01,237.5,272.5,230,265
1991-09-01,257.5,267.5,247.5,260
1991-10-01,261.25,325,252.5,306.25
1991-11-01,312.5,320,290,297.5
1991-12-01,295,312.5,285,305
1992-01-01,307.5,355,305,340
1992-02-01,340,365,305,360
1992-03-01,320,440,320,440
1992-04-01,430,500,400,425
1992-05-01,400,480,380,430
1992-06-01,410,515,410,490
1992-07-01,420,450,400,430
1992-08-01,425,460,280,280
1992-09-01,300,310,270,300
1992-10-01,300,310,270,290
1992-11-01,280,305,255,287.5
1992-12-01,285,300,272.5,295
1993-01-01,290,297,270,290
1993-02-01,285,295,273.75,290
1993-03-01,285,290,245,290
1993-04-01,270,290,260,280
1993-05-01,280,295,265,280
1993-06-01,280,292.5,247.5,290
1993-07-01,275,290,252.5,275
1993-08-01,270,350,255,350
1993-09-01,340,370,330,342.5
1993-10-01,345,355,325,337.5
1993-11-01,327.5,365,315,355
1993-12-01,355,420,350,415
1994-01-01,415,475,340,425
1994-02-01,420,490,400,490
1994-03-01,490,515,415,490
1994-04-01,500,525,470,500
1994-05-01,500,515,460,485
1994-06-01,470,540,465,530
1994-07-01,510,605,505,580
1994-08-01,600,640,540,580
1994-09-01,570,630,550,575
1994-10-01,565,600,550,580
1994-11-01,590,600,540,540
1994-12-01,540,560,520,530
1995-01-01,530,550,490,540
1995-02-01,540,580,500,545
1995-03-01,540,580,500,575
1995-04-01,590,670,580,595
1995-05-01,593,659,565,635
1995-06-01,634,654,625,644
1995-07-01,644,690,602,676
1995-08-01,670,676,656,660
1995-09-01,646,668,622,646
1995-10-01,644,660,616,628
1995-11-01,620,636,256,280
1995-12-01,289,332,289,316
1996-01-01,540,540,305,332
1996-02-01,331,400,310,355
1996-03-01,360,365,330,342.5
1996-04-01,342.5,465,342.5,465
1996-05-01,460,470,390.25,414.25
1996-06-01,415,480,412,436.25
1996-07-01,435,440,350,369
1996-08-01,369.5,376,352,367.5
1996-09-01,368,374,332.5,334.75
1996-10-01,335,338,282,322
1996-11-01,319.25,345,275,277.25
1996-12-01,271,301,250,295.5
1997-01-01,380,380,275,278.75
1997-02-01,277.5,293,270,286
