Month,GasProd
Jan-1956,1709
Feb-1956,1646
Mar-1956,1794
Apr-1956,1878
May-1956,2173
Jun-1956,2321
Jul-1956,2468
Aug-1956,2416
Sep-1956,2184
Oct-1956,2121
Nov-1956,1962
Dec-1956,1825
Jan-1957,1751
Feb-1957,1688
Mar-1957,1920
Apr-1957,1941
May-1957,2311
Jun-1957,2279
Jul-1957,2638
Aug-1957,2448
Sep-1957,2279
Oct-1957,2163
Nov-1957,1941
Dec-1957,1878
Jan-1958,1773
Feb-1958,1688
Mar-1958,1783
Apr-1958,1984
May-1958,2290
Jun-1958,2511
Jul-1958,2712
Aug-1958,2522
Sep-1958,2342
Oct-1958,2195
Nov-1958,1931
Dec-1958,1910
Jan-1959,1730
Feb-1959,1688
Mar-1959,1899
Apr-1959,1994
May-1959,2342
Jun-1959,2553
Jul-1959,2712
Aug-1959,2627
Sep-1959,2363
Oct-1959,2311
Nov-1959,2026
Dec-1959,1910
Jan-1960,1762
Feb-1960,1815
Mar-1960,2005
Apr-1960,2089
May-1960,2617
Jun-1960,2828
Jul-1960,2965
Aug-1960,2891
Sep-1960,2532
Oct-1960,2363
Nov-1960,2216
Dec-1960,2026
Jan-1961,1804
Feb-1961,1773
Mar-1961,2015
Apr-1961,2089
May-1961,2627
Jun-1961,2712
Jul-1961,3007
Aug-1961,2880
Sep-1961,2490
Oct-1961,2237
Nov-1961,2205
Dec-1961,1984
Jan-1962,1868
Feb-1962,1815
Mar-1962,2047
Apr-1962,2142
May-1962,2743
Jun-1962,2775
Jul-1962,3028
Aug-1962,2965
Sep-1962,2501
Oct-1962,2501
Nov-1962,2131
Dec-1962,2015
Jan-1963,1910
Feb-1963,1868
Mar-1963,2121
Apr-1963,2268
May-1963,2690
Jun-1963,2933
Jul-1963,3218
Aug-1963,3028
Sep-1963,2659
Oct-1963,2406
Nov-1963,2258
Dec-1963,2057
Jan-1964,1889
Feb-1964,1984
Mar-1964,2110
Apr-1964,2311
May-1964,2785
Jun-1964,3039
Jul-1964,3229
Aug-1964,3070
Sep-1964,2659
Oct-1964,2543
Nov-1964,2237
Dec-1964,2142
Jan-1965,1962
Feb-1965,1910
Mar-1965,2216
Apr-1965,2437
May-1965,2817
Jun-1965,3123
Jul-1965,3345
Aug-1965,3112
Sep-1965,2659
Oct-1965,2469
Nov-1965,2332
Dec-1965,2110
Jan-1966,1910
Feb-1966,1941
Mar-1966,2216
Apr-1966,2342
May-1966,2923
Jun-1966,3229
Jul-1966,3513
Aug-1966,3355
Sep-1966,2849
Oct-1966,2680
Nov-1966,2395
Dec-1966,2205
Jan-1967,1994
Feb-1967,1952
Mar-1967,2290
Apr-1967,2395
May-1967,2965
Jun-1967,3239
Jul-1967,3608
Aug-1967,3524
Sep-1967,3018
Oct-1967,2648
Nov-1967,2363
Dec-1967,2247
Jan-1968,1994
Feb-1968,1941
Mar-1968,2258
Apr-1968,2332
May-1968,3323
Jun-1968,3608
Jul-1968,3957
Aug-1968,3672
Sep-1968,3155
Oct-1968,2933
Nov-1968,2585
Dec-1968,2384
Jan-1969,2057
Feb-1969,2100
Mar-1969,2458
Apr-1969,2638
May-1969,3292
Jun-1969,3724
Jul-1969,4652
Aug-1969,4379
Sep-1969,4231
Oct-1969,3756
Nov-1969,3429
Dec-1969,3461
Jan-1970,3345
Feb-1970,4220
Mar-1970,4874
Apr-1970,5064
May-1970,5951
Jun-1970,6774
Jul-1970,7997
Aug-1970,7523
Sep-1970,7438
Oct-1970,6879
Nov-1970,6489
Dec-1970,6288
Jan-1971,5919
Feb-1971,6183
Mar-1971,6594
Apr-1971,6489
May-1971,8040
Jun-1971,9715
Jul-1971,9714
Aug-1971,9756
Sep-1971,8595
Oct-1971,7861
Nov-1971,7753
Dec-1971,8154
Jan-1972,7778
Feb-1972,7402
Mar-1972,8903
Apr-1972,9742
May-1972,11372
Jun-1972,12741
Jul-1972,13733
Aug-1972,13691
Sep-1972,12239
Oct-1972,12502
Nov-1972,11241
Dec-1972,10829
Jan-1973,11569
Feb-1973,10397
Mar-1973,12493
Apr-1973,11962
May-1973,13974
Jun-1973,14945
Jul-1973,16805
Aug-1973,16587
Sep-1973,14225
Oct-1973,14157
Nov-1973,13016
Dec-1973,12253
