Month,Amount
1/1/1990,16.5
2/1/1990,15.17
3/1/1990,12.75
4/1/1990,12.31
5/1/1990,8.34
6/1/1990,8.63
7/1/1990,12.37
8/1/1990,11.53
9/1/1990,9.47
10/1/1990,9.57
11/1/1990,14.44
12/1/1990,24.5
1/1/1991,19.94
2/1/1991,13.99
3/1/1991,12.5
4/1/1991,9.32
5/1/1991,7.63
6/1/1991,7.44
7/1/1991,9.86
8/1/1991,8.92
9/1/1991,7.38
10/1/1991,8.17
11/1/1991,15.65
12/1/1991,20.07
1/1/1992,16.98
2/1/1992,13.45
3/1/1992,12.15
4/1/1992,12.29
5/1/1992,7.42
6/1/1992,6.83
7/1/1992,10.96
8/1/1992,9.09
9/1/1992,8.51
10/1/1992,8.49
11/1/1992,14.83
12/1/1992,21.15
1/1/1993,15.21
2/1/1993,14.75
3/1/1993,11.81
4/1/1993,14.11
5/1/1993,7.42
6/1/1993,9.61
7/1/1993,9.76
8/1/1993,8.78
9/1/1993,6.63
10/1/1993,8.88
11/1/1993,14.92
12/1/1993,21.17
1/1/1994,19.74
2/1/1994,15.47
3/1/1994,11.39
4/1/1994,10.51
5/1/1994,7.73
6/1/1994,9.2
7/1/1994,10.53
8/1/1994,9.06
9/1/1994,6.65
10/1/1994,7.8
11/1/1994,12.49
12/1/1994,18.39
1/1/1995,14.74
2/1/1995,13.23
3/1/1995,9.91
4/1/1995,10.38
5/1/1995,6.73
6/1/1995,6.75
7/1/1995,9.16
8/1/1995,9.21
9/1/1995,6.19
10/1/1995,7.85
11/1/1995,16.64
12/1/1995,23.84
1/1/1996,16.05
2/1/1996,13.31
3/1/1996,12.11
4/1/1996,11.42
5/1/1996,8.77
6/1/1996,7.45
7/1/1996,10.19
8/1/1996,9.76
9/1/1996,7.7
10/1/1996,7.86
11/1/1996,15.27
12/1/1996,18.33
1/1/1997,18.61
2/1/1997,13.53
3/1/1997,11.47
4/1/1997,12.94
5/1/1997,8.53
6/1/1997,7.61
7/1/1997,11.28
8/1/1997,9.68
9/1/1997,8.12
10/1/1997,8.67
11/1/1997,14.79
12/1/1997,20.15
1/1/1998,16.56
2/1/1998,13.53
3/1/1998,13.53
4/1/1998,11.58
5/1/1998,8.03
6/1/1998,9.46
7/1/1998,10.75
8/1/1998,10.28
9/1/1998,8.04
10/1/1998,12.27
11/1/1998,14.02
12/1/1998,17.52
1/1/1999,16
2/1/1999,11.99
3/1/1999,6.96
4/1/1999,10.02
5/1/1999,6.14
6/1/1999,7.15
7/1/1999,9.72
8/1/1999,7.85
9/1/1999,5.73
10/1/1999,7.27
11/1/1999,10.13
12/1/1999,17.54
1/1/2000,15.04
2/1/2000,11.21
3/1/2000,8.7
4/1/2000,9.92
5/1/2000,6.65
6/1/2000,6.73
7/1/2000,8.12
8/1/2000,8.31
9/1/2000,6.87
10/1/2000,5.45
11/1/2000,11.29
12/1/2000,18.21
