Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
31-07-2011,84,44.4,1.891891892,20.66420664,-53.45899405,-8.359063596,-32.76908177,-15.70494965,-13.12759836,-11.30624969
31-01-2012,84,51.905,1.6183412,20.01324686,-61.4425453,-30.24350882,-40.55802669,-31.73184593,-32.67506768,-29.99449745
31-07-2012,89,56.165,1.584616754,20.56614674,-63.38262844,-36.06206085,-42.42405281,-40.41621474,-35.16915191,-32.04492636
31-01-2013,89,53.395,1.666822736,20.37827653,-61.83485995,-34.14408415,-45.37566769,-38.08298787,-19.95709035,-31.27813471
31-07-2013,90,59.98,1.500500167,19.75128018,-67.07022312,-42.90042609,-48.29492428,-40.84788906,-20.4162809,-38.95335677
31-01-2014,95,61.845,1.53609831,20.54424221,-66.78107817,-39.44101865,-48.02035129,-45.02999023,-8.063829635,-40.16129038
31-07-2014,105,60.08875,1.747415282,21.89781022,-63.55755409,-35.86040021,-45.82952395,-44.38309393,-19.36666583,-31.48322621
31-01-2015,116.25,61.615,1.886715897,24.26931106,-60.61135914,-30.08039971,-31.01558212,-32.19100301,-6.539620778,-26.2752421
31-07-2015,116.25,63.43,1.832728993,24.26931106,-61.73843439,-34.41966948,-31.38956631,-35.28204151,-9.89324678,-27.68052456
31-01-2016,127,66.8025,1.901126455,25.76064909,-61.43759726,-29.92029624,-24.18633181,-24.19278066,-6.351088105,-22.61479267
31-07-2016,162,67.2,2.410714286,32.14285714,-52.16836735,-13.30640378,-14.72509642,-0.14864914,1.719277983,-5.177871309
31-01-2017,170,68.3275,2.48801727,33.59683794,-50.82969823,-9.674231467,-7.972039641,10.18126585,12.80579191,-3.419445534
31-07-2017,178,64.5575,2.757231925,33.58490566,-47.97675613,-6.467954911,-7.871488647,8.664178671,27.05041741,3.42933909
31-01-2018,180,63.86125,2.81861066,34.09090909,-46.61722235,-1.960762132,-12.52078664,0.507254283,27.80495178,-2.638733329
31-07-2018,173,68.825,2.513621504,31.39745917,-54.4,-13.7,-17.9,-5.8,12.3,-10.4
31-01-2019,178,69.685,2.554351726,31.89964158,-54.2,-10.7,-13,1.7,13.6,-7.1
31-07-2019,183,68.5544,2.669412904,31.8815331,-53.5,-15.6,-12.6,-0.1,12.5,-4.3
31-01-2020,188,70.87815,2.652439433,33.15696649,-53.22,-14.2,-11.7,-6.4,13.1,-6.3
31-07-2020,190,75.1975,2.526679743,33.27495622,-55.75,-15.1,-16.7,-4.7,8.6,-9.2
31-01-2021,190,73.39,2.588908571,33.56890459,-54.3,-14.7,-24.3,-9.5,5.4,-16.8
31-07-2021,190,74.615,2.546404878,33.62831858,-54.931,-18.362,-25.233,-19.188,7.966,-18.054
