Date,Value
01-01-1949,5.255052567
01-04-1949,5.261515617
01-07-1949,5.268013
01-10-1949,5.274564
01-01-1950,5.281182
01-04-1950,5.287866
01-07-1950,5.294604
01-10-1950,5.301367
01-01-1951,5.308113
01-04-1951,5.314789
01-07-1951,5.321333408
01-10-1951,5.327682495
01-01-1952,5.333774
01-04-1952,5.339555
01-07-1952,5.344985485
01-10-1952,5.350040436
01-01-1953,5.354713
01-04-1953,5.35901165
01-07-1953,5.362958
01-10-1953,5.366582394
01-01-1954,5.369922
01-04-1954,5.37301445
01-07-1954,5.375902
01-10-1954,5.378624
01-01-1955,5.38122
01-04-1955,5.383725
01-07-1955,5.386171
01-10-1955,5.388586
01-01-1956,5.390996456
01-04-1956,5.39343
01-07-1956,5.395917
01-10-1956,5.398493
01-01-1957,5.401198387
01-04-1957,5.404080391
01-07-1957,5.407184601
01-10-1957,5.410558
01-01-1958,5.41424036
01-04-1958,5.418266
01-07-1958,5.422658443
01-10-1958,5.427429
01-01-1959,5.432576656
01-04-1959,5.438085556
01-07-1959,5.443927
01-10-1959,5.450064
01-01-1960,5.45645237
01-04-1960,5.463051
01-07-1960,5.469829559
01-10-1960,5.47677
01-01-1961,5.483875
01-04-1961,5.491165
01-07-1961,5.498675346
01-10-1961,5.506455421
01-01-1962,5.514559
01-04-1962,5.523042
01-07-1962,5.531950474
01-10-1962,5.541324
01-01-1963,5.551188
01-04-1963,5.561552
01-07-1963,5.572411
01-10-1963,5.583747387
01-01-1964,5.595527649
01-04-1964,5.607706
01-07-1964,5.620222569
01-10-1964,5.633007
01-01-1965,5.645977
01-04-1965,5.659044
01-07-1965,5.672116
01-10-1965,5.685105
01-01-1966,5.69793
01-04-1966,5.710529
01-07-1966,5.722861
01-10-1966,5.734915
01-01-1967,5.746704
01-04-1967,5.75827
01-07-1967,5.769672
01-10-1967,5.780984
01-01-1968,5.792286
01-04-1968,5.803658485
01-07-1968,5.815175533
01-10-1968,5.826905
01-01-1969,5.838901
01-04-1969,5.851209641
01-07-1969,5.863864
01-10-1969,5.876888
01-01-1970,5.890298367
01-04-1970,5.9041
01-07-1970,5.918292
01-10-1970,5.932861
01-01-1971,5.947782
01-04-1971,5.963016
01-07-1971,5.978505611
01-10-1971,5.994177
01-01-1972,6.00994
01-04-1972,6.025690556
01-07-1972,6.041317
01-10-1972,6.056706
01-01-1973,6.071745396
01-04-1973,6.086335
01-07-1973,6.10038662
01-10-1973,6.113830566
01-01-1974,6.126616478
01-04-1974,6.138715
01-07-1974,6.150114536
01-10-1974,6.16081953
01-01-1975,6.170844
01-04-1975,6.180209
01-07-1975,6.188934
01-10-1975,6.197032452
01-01-1976,6.204509
01-04-1976,6.211358
01-07-1976,6.217563
01-10-1976,6.223099
01-01-1977,6.227931
01-04-1977,6.232016563
01-07-1977,6.235309
01-10-1977,6.237757
01-01-1978,6.239311
01-04-1978,6.239927
01-07-1978,6.239574432
01-10-1978,6.23823452
01-01-1979,6.235909462
01-04-1979,6.232617
01-07-1979,6.228393555
01-10-1979,6.22329
01-01-1980,6.21737051
01-04-1980,6.210709
01-07-1980,6.203388
01-10-1980,6.195495605
01-01-1981,6.187123
01-04-1981,6.178361416
01-07-1981,6.169302464
01-10-1981,6.160031
01-01-1982,6.150627
01-04-1982,6.141159534
01-07-1982,6.131687
01-10-1982,6.122254
01-01-1983,6.112889
01-04-1983,6.103606
01-07-1983,6.094400406
01-10-1983,6.085254
01-01-1984,6.076131
01-04-1984,6.066982
01-07-1984,6.057761
01-10-1984,6.048421383
01-01-1985,6.038903
01-04-1985,6.029139519
01-07-1985,6.019057
01-10-1985,6.008578
01-01-1986,5.997622
01-04-1986,5.98611
01-07-1986,5.973967552
01-10-1986,5.961125374
01-01-1987,5.947525501
01-04-1987,5.933125496
01-07-1987,5.917901516
01-10-1987,5.901855
01-01-1988,5.885015
01-04-1988,5.86744
01-07-1988,5.849217
01-10-1988,5.830452442
01-01-1989,5.811267376
01-04-1989,5.791787
01-07-1989,5.772135
01-10-1989,5.752428532
01-01-1990,5.732765
01-04-1990,5.71323061
01-07-1990,5.693902493
01-10-1990,5.674851418
01-01-1991,5.656145573
01-04-1991,5.637838
01-07-1991,5.619961
01-10-1991,5.602534
01-01-1992,5.585576534
01-04-1992,5.569084
01-07-1992,5.553059
01-10-1992,5.537511
01-01-1993,5.522455
01-04-1993,5.50790453
01-07-1993,5.493864536
01-10-1993,5.480341434
01-01-1994,5.467338562
01-04-1994,5.454845
01-07-1994,5.442838
01-10-1994,5.431291
01-01-1995,5.420172
01-04-1995,5.409451485
01-07-1995,5.399091
01-10-1995,5.38905
01-01-1996,5.379276
01-04-1996,5.369709492
01-07-1996,5.360292435
01-10-1996,5.350973606
01-01-1997,5.341696
01-04-1997,5.332409382
01-07-1997,5.32308054
01-10-1997,5.31369
01-01-1998,5.304222
01-04-1998,5.294664
01-07-1998,5.285001
01-10-1998,5.275233
01-01-1999,5.265363
01-04-1999,5.255394459
01-07-1999,5.245333672
01-10-1999,5.235184669
01-01-2000,5.224948
01-04-2000,5.214622
01-07-2000,5.204211
01-10-2000,5.193731
01-01-2001,5.183196545
01-04-2001,5.172613621
01-07-2001,5.161983
01-10-2001,5.151313
01-01-2002,5.140615463
01-04-2002,5.129905
01-07-2002,5.119209
01-10-2002,5.108561516
01-01-2003,5.09799
01-04-2003,5.087525
01-07-2003,5.077202
01-10-2003,5.067058563
01-01-2004,5.057126
01-04-2004,5.047432423
01-07-2004,5.038008
01-10-2004,5.028878689
01-01-2005,5.020076
01-04-2005,5.011637
01-07-2005,5.00365448
01-10-2005,4.996716776
01-01-2006,4.987016737
01-04-2006,4.976734476
01-07-2006,4.966011158
01-10-2006,4.95504008
01-01-2007,4.94404698
01-04-2007,4.933268579
01-07-2007,4.922925139
01-10-2007,4.913194325
01-01-2008,4.912083379
01-04-2008,4.960114109
01-07-2008,4.990479336
01-10-2008,5.104601542
01-01-2009,5.212292418
01-04-2009,5.283114938
01-07-2009,5.395247122
01-10-2009,5.503899202
01-01-2010,5.648051059
01-04-2010,5.690288816
01-07-2010,5.726967342
01-10-2010,5.770941881
01-01-2011,5.804344038
01-04-2011,5.822588923
01-07-2011,5.830605261
01-10-2011,5.847203348
01-01-2012,5.815009226
01-04-2012,5.781262444
01-07-2012,5.712411406
01-10-2012,5.656054951
01-01-2013,5.516896662
01-04-2013,5.370586944
01-07-2013,5.265987002
01-10-2013,5.150994354
01-01-2014,5.045110253
01-04-2014,4.956619687
01-07-2014,4.887757383
01-10-2014,4.838887231
01-01-2015,4.810394419
01-04-2015,4.782686752
01-07-2015,4.756195061
01-10-2015,4.731372
01-01-2016,4.708691
01-04-2016,4.688638
01-07-2016,4.671323
01-10-2016,4.656598
01-01-2017,4.644163
01-04-2017,4.63363
01-07-2017,4.624581
01-10-2017,4.616598
01-01-2018,4.609289
01-04-2018,4.602304
01-07-2018,4.595352
01-10-2018,4.588214
01-01-2019,4.559107
01-04-2019,4.548072
01-07-2019,4.536518
01-10-2019,4.524682
01-01-2020,4.512876
01-04-2020,4.501435
01-07-2020,4.490658
01-10-2020,4.480756
01-01-2021,4.471833
01-04-2021,4.463892
01-07-2021,4.456865
01-10-2021,4.450651
01-01-2022,4.445137
01-04-2022,4.440214
01-07-2022,4.435784
01-10-2022,4.43176
