Series Code,NY.GDP.PCAP.KN
1960 [YR1960],15203.85464
1961 [YR1961],15459.4171
1962 [YR1962],15594.24675
1963 [YR1963],16194.24668
1964 [YR1964],17045.80901
1965 [YR1965],16255.53236
1966 [YR1966],15911.55488
1967 [YR1967],16801.22849
1968 [YR1968],17006.41993
1969 [YR1969],17731.69905
1970 [YR1970],18238.92262
1971 [YR1971],18124.28585
1972 [YR1972],17613.80971
1973 [YR1973],17775.75103
1974 [YR1974],17572.07334
1975 [YR1975],18740.06246
1976 [YR1976],18618.1223
1977 [YR1977],19517.09103
1978 [YR1978],20166.38719
1979 [YR1979],18677.49148
1980 [YR1980],19481.77618
1981 [YR1981],20179.22046
1982 [YR1982],20401.913
1983 [YR1983],21389.0025
1984 [YR1984],21704.12705
1985 [YR1985],22335.66783
1986 [YR1986],22889.71615
1987 [YR1987],23284.14386
1988 [YR1988],24984.39527
1989 [YR1989],25918.01808
1990 [YR1990],26790.88584
1991 [YR1991],26528.21866
1992 [YR1992],27428.55893
1993 [YR1993],28171.76566
1994 [YR1994],29469.81154
1995 [YR1995],31099.19528
1996 [YR1996],32818.06808
1997 [YR1997],33513.11926
1998 [YR1998],34934.99965
1999 [YR1999],37342.86189
2000 [YR2000],38096.07455
2001 [YR2001],39248.04848
2002 [YR2002],40057.10886
2003 [YR2003],42497.06081
2004 [YR2004],45129.15002
2005 [YR2005],48547.54302
2006 [YR2006],52234.1983
2007 [YR2007],55884.38043
2008 [YR2008],57215.65717
2009 [YR2009],61192.67578
2010 [YR2010],66550.07601
2011 [YR2011],70031.40088
2012 [YR2012],73021.16706
2013 [YR2013],76900.68691
2014 [YR2014],81465.4502
2015 [YR2015],86579.13797
