Date,Value
31-12-1987,19.44865525
31-12-1988,21.27399993
31-12-1989,21.96767653
31-12-1990,23.93912635
31-12-1991,27.25926118
31-12-1992,30.47189254
31-12-1993,32.41108335
31-12-1994,35.72063583
31-12-1995,39.37293943
31-12-1996,42.90760191
31-12-1997,45.98108535
31-12-1998,52.06658006
31-12-1999,54.49615975
31-12-2000,56.68077055
31-12-2001,58.76873228
31-12-2002,61.82665047
31-12-2003,64.49979749
31-12-2004,66.99068449
31-12-2005,69.5018226
31-12-2006,73.72417983
31-12-2007,78.13892264
31-12-2008,84.84204131
31-12-2009,93.09437019
31-12-2010,102.7237748
31-12-2011,111.2596193
31-12-2012,121.6990684
31-12-2013,133.6978534
31-12-2014,142.5880923
31-12-2015,149.5848522
31-12-2016,156.9866343
31-12-2017,161.2636695
