Date,Value
31-03-2012,180620
30-04-2012,195000
31-05-2012,192500
30-06-2012,199900
31-07-2012,199900
31-08-2012,199900
30-09-2012,197900
31-10-2012,195000
30-11-2012,199700
31-12-2012,195000
31-01-2013,189000
28-02-2013,185000
31-03-2013,182500
30-04-2013,197900
31-05-2013,197900
30-06-2013,195000
31-07-2013,221500
31-08-2013,230000
30-09-2013,199950
31-10-2013,222500
30-11-2013,199950
31-12-2013,198700
31-01-2014,189900
28-02-2014,189450
31-03-2014,199900
30-04-2014,199900
31-05-2014,219900
30-06-2014,219700
31-07-2014,222500
31-08-2014,219900
30-09-2014,220000
31-10-2014,225000
30-11-2014,225000
31-12-2014,235000
31-01-2015,232500
28-02-2015,239450
31-03-2015,237000
30-04-2015,235000
31-05-2015,235000
30-06-2015,232500
31-07-2015,237000
31-08-2015,249000
30-09-2015,234900
31-10-2015,227000
30-11-2015,219000
31-12-2015,215000
31-01-2016,218500
29-02-2016,214500
31-03-2016,214500
30-04-2016,208000
31-05-2016,209000
30-06-2016,209500
31-07-2016,207000
31-08-2016,210000
30-09-2016,210000
31-10-2016,200000
30-11-2016,209500
31-12-2016,209000
31-01-2017,203000
28-02-2017,200000
31-03-2017,200000
30-04-2017,199900
31-05-2017,199900
30-06-2017,200000
31-07-2017,199250
31-08-2017,200000
30-09-2017,199900
31-10-2017,205000
30-11-2017,199500
31-12-2017,200000
31-01-2018,210000
28-02-2018,209000
31-03-2018,212000
30-04-2018,209500
31-05-2018,225000
30-06-2018,237250
31-07-2018,230000
31-08-2018,230000
30-09-2018,229000
31-10-2018,215000
30-11-2018,199700
31-12-2018,199900
31-01-2019,199000
