iter	Passed	Remaining
0	218	218062
1	282	140905
2	346	115117
3	407	101498
4	477	95098
5	537	88991
6	598	84920
7	652	80920
8	709	78109
9	763	75614
10	826	74329
11	887	73034
12	951	72232
13	1014	71440
14	1076	70691
15	1144	70377
16	1204	69630
17	1272	69403
18	1335	68948
19	1395	68369
20	1466	68347
21	1529	68005
22	1594	67743
23	1669	67897
24	1730	67471
25	1795	67271
26	1852	66761
27	1914	66462
28	1980	66324
29	2043	66085
30	2116	66145
31	2190	66257
32	2262	66291
33	2324	66036
34	2390	65922
35	2462	65928
36	2528	65808
37	2588	65526
38	2646	65221
39	2704	64907
40	2760	64566
41	2818	64282
42	2881	64138
43	2939	63876
44	3004	63765
45	3068	63632
46	3125	63376
47	3191	63290
48	3251	63099
49	3311	62910
50	3377	62855
51	3439	62708
52	3499	62520
53	3556	62308
54	3619	62186
55	3674	61936
56	3736	61819
57	3793	61604
58	3854	61481
59	3912	61297
60	3968	61093
61	4025	60902
62	4086	60777
63	4137	60517
64	4197	60376
65	4254	60208
66	4310	60029
67	4369	59892
68	4433	59817
69	4486	59602
70	4546	59494
71	4600	59297
72	4655	59117
73	4715	59008
74	4773	58869
75	4829	58713
76	4891	58632
77	4953	58554
78	5010	58411
79	5069	58293
80	5127	58170
81	5187	58073
82	5254	58052
83	5311	57921
84	5369	57805
85	5433	57744
86	5490	57614
87	5547	57493
88	5599	57315
89	5660	57231
90	5717	57116
91	5774	56991
92	5830	56860
93	5881	56691
94	5946	56649
95	6003	56529
96	6065	56465
97	6121	56344
98	6176	56210
99	6232	56096
100	6292	56009
101	6351	55915
102	6408	55812
103	6462	55679
104	6520	55581
105	6582	55519
106	6641	55428
107	6696	55308
108	6757	55234
109	6819	55172
110	6882	55118
111	6946	55077
112	7007	55008
113	7066	54916
114	7124	54825
115	7188	54783
116	7258	54777
117	7321	54728
118	7385	54679
119	7448	54622
120	7513	54582
121	7574	54513
122	7637	54452
123	7694	54359
124	7750	54253
125	7810	54180
126	7875	54134
127	7942	54111
128	7999	54012
129	8057	53921
130	8115	53836
131	8174	53754
132	8231	53656
133	8295	53608
134	8355	53536
135	8417	53478
136	8472	53369
137	8535	53313
138	8590	53212
139	8659	53192
140	8723	53147
141	8780	53055
142	8835	52949
143	8898	52897
144	8959	52832
145	9021	52769
146	9078	52682
147	9137	52602
148	9200	52548
149	9267	52515
150	9327	52443
151	9387	52374
152	9452	52328
153	9513	52260
154	9574	52198
155	9636	52135
156	9691	52039
157	9747	51946
158	9802	51847
159	9852	51723
160	9905	51618
161	9968	51564
162	10029	51498
163	10086	51417
164	10140	51319
165	10194	51218
166	10249	51122
167	10308	51049
168	10360	50945
169	10413	50843
170	10470	50762
171	10531	50699
172	10589	50622
173	10643	50528
174	10702	50452
175	10754	50348
176	10805	50241
177	10863	50169
178	10914	50062
179	10967	49963
180	11024	49883
181	11076	49781
182	11135	49713
183	11191	49633
184	11252	49571
185	11314	49514
186	11370	49435
187	11425	49347
188	11486	49288
189	11541	49201
190	11595	49113
191	11646	49013
192	11707	48952
193	11764	48878
194	11823	48811
195	11887	48763
196	11946	48693
197	12007	48637
198	12072	48592
199	12133	48535
200	12197	48486
201	12259	48430
202	12316	48357
203	12379	48302
204	12441	48249
205	12509	48214
206	12570	48156
207	12631	48096
208	12691	48034
209	12752	47974
210	12813	47913
211	12864	47817
212	12924	47753
213	12989	47710
214	13052	47657
215	13103	47562
216	13161	47491
217	13219	47420
218	13274	47339
219	13332	47269
220	13396	47222
221	13448	47129
222	13511	47077
223	13572	47020
224	13635	46965
225	13689	46882
226	13753	46832
227	13814	46776
228	13875	46716
229	13932	46643
230	13990	46575
231	14041	46483
232	14099	46413
233	14157	46345
234	14216	46278
235	14271	46200
236	14328	46128
237	14388	46066
238	14444	45992
239	14502	45925
240	14559	45853
241	14614	45776
242	14680	45732
243	14743	45679
244	14804	45623
245	14860	45548
246	14915	45471
247	14967	45385
248	15024	45314
249	15081	45243
250	15132	45157
251	15191	45092
252	15251	45029
253	15303	44947
254	15366	44893
255	15420	44816
256	15477	44745
257	15534	44675
258	15590	44604
259	15647	44536
260	15705	44468
261	15757	44385
262	15813	44312
263	15871	44248
264	15930	44185
265	15986	44114
266	16041	44039
267	16103	43984
268	16161	43918
269	16226	43871
270	16284	43805
271	16337	43726
272	16397	43666
273	16450	43586
274	16501	43505
275	16559	43438
276	16622	43387
277	16684	43332
278	16745	43273
279	16803	43207
280	16860	43141
281	16924	43090
282	16988	43040
283	17048	42980
284	17107	42918
285	17169	42863
286	17232	42811
287	17288	42742
288	17348	42681
289	17413	42633
290	17475	42578
291	17537	42523
292	17598	42465
293	17658	42404
294	17717	42342
295	17776	42280
296	17837	42222
297	17902	42173
298	17965	42119
299	18020	42048
300	18080	41987
301	18141	41930
302	18210	41891
303	18271	41832
304	18330	41769
305	18394	41719
306	18452	41653
307	18511	41589
308	18569	41525
309	18626	41457
310	18687	41400
311	18740	41325
312	18798	41260
313	18863	41210
314	18929	41164
315	18987	41098
316	19041	41025
317	19107	40978
318	19164	40912
319	19223	40850
320	19279	40781
321	19342	40727
322	19403	40668
323	19467	40618
324	19528	40558
325	19584	40491
326	19651	40444
327	19706	40375
328	19768	40318
329	19823	40246
330	19879	40179
331	19934	40108
332	19994	40048
333	20053	39987
