Item_Identifier,Outlet_Identiifer,Item_Outlet_Sales
FDW58,OUT049,1520.140023345551
FDW14,OUT017,1276.6237780629722
NCN55,OUT010,598.2806333285807
FDQ58,OUT017,2341.418772231467
FDY38,OUT027,5940.110392874512
FDH56,OUT046,1832.6115770563667
FDL48,OUT018,590.608206401356
FDC48,OUT027,2051.489551736107
FDN33,OUT045,1385.6327631748813
FDA36,OUT017,2854.539416974706
FDT44,OUT017,1757.4579453563429
FDQ56,OUT045,1399.5214216356399
NCC54,OUT019,821.0390890379858
FDU11,OUT049,2196.095603489877
DRL59,OUT013,748.495569588971
FDM24,OUT049,2564.337922820991
FDI57,OUT045,3493.743782394563
DRC12,OUT018,2949.848534541112
NCM42,OUT027,2773.554746226948
FDA46,OUT010,787.6129159397067
FDA31,OUT013,2931.177292969099
NCJ31,OUT035,3487.6931758762066
FDG52,OUT046,753.8144745576906
NCL19,OUT019,287.6411082790064
FDS10,OUT035,3026.0708541509466
FDX22,OUT010,828.7251709526388
NCF19,OUT035,894.4360663469186
NCE06,OUT046,2356.521256158349
DRC27,OUT046,3864.3481417083885
FDE21,OUT035,2062.260878227145
NCR42,OUT019,0.0
FDX51,OUT018,2624.038879073409
NCR06,OUT018,428.94399444044666
FDU31,OUT027,5516.850981563997
FDU59,OUT017,2169.109046417463
FDR03,OUT027,5986.770853466756
FDS49,OUT027,2429.499618338021
FDD48,OUT010,310.335810599511
NCF18,OUT017,3390.0501620052737
NCD43,OUT027,2435.9735983521437
NCD54,OUT018,1765.5258442890406
FDY19,OUT010,234.8977155184666
NCY54,OUT017,2711.3638116062934
NCL19,OUT018,1888.307733220677
FDP23,OUT010,557.5368906864926
FDC26,OUT013,2033.3113054240614
FDR14,OUT010,0.0
NCS41,OUT035,3269.1348991734585
FDF41,OUT035,3962.192595429809
FDU34,OUT046,1951.1643481309836
DRH11,OUT046,917.3627065581607
FDM03,OUT013,1873.793111493451
FDS31,OUT017,3327.204218438904
FDJ20,OUT017,1915.2346461250866
FDV44,OUT027,5207.282599976451
FDG02,OUT049,3082.286576027917
FDA09,OUT013,3257.785819327053
FDT04,OUT013,606.1978166533679
FDL58,OUT019,0.0
FDE52,OUT045,1276.5922623581519
FDW12,OUT035,2628.787463602801
FDL51,OUT017,3379.1070411993805
NCY42,OUT027,3349.589082472095
FDR07,OUT017,1082.596056484622
FDN40,OUT045,2192.5699738412413
FDB35,OUT027,2487.446413346394
FDA22,OUT017,2612.845242869172
NCL06,OUT046,4107.984868933978
FDI35,OUT013,3383.8807686754863
NCW42,OUT045,3351.650315450049
NCX06,OUT049,3141.372696683969
FDC37,OUT027,2734.4448437113697
FDZ14,OUT018,1670.2653228610861
DRG49,OUT049,4662.81267581732
NCG06,OUT045,2988.503705173894
DRC36,OUT045,2705.901744006741
FDV21,OUT019,357.8090294757794
FDB53,OUT046,2630.5443063952403
DRP47,OUT019,912.2181385758745
FDA14,OUT013,2052.6214601014453
DRC24,OUT035,2657.4869124158545
FDW21,OUT018,1264.2408819524726
NCH29,OUT046,2085.827786124923
FDU58,OUT013,3038.7696727311695
FDY27,OUT017,2713.1849368421204
FDV56,OUT035,1779.6698426914577
FDT59,OUT046,4721.990116670428
FDB23,OUT046,3376.8864548725714
FDR49,OUT045,862.4072596765654
FDB03,OUT010,510.84524353989264
FDN39,OUT045,2848.4563732417214
FDX02,OUT027,5662.059374933773
FDQ16,OUT027,2873.1601291214424
FDU35,OUT018,1753.117885777765
NCT29,OUT013,1843.4006946784064
FDZ27,OUT046,630.2433278389319
FDN57,OUT017,2208.414775692929
FDA03,OUT018,1818.5140098502593
FDZ36,OUT045,3324.5889108054025
NCU05,OUT013,922.873394036297
FDT39,OUT018,2019.91571446167
FDK60,OUT017,1502.0770054230466
FDZ25,OUT017,3143.367961251518
FDG12,OUT046,2231.3765814595345
DRB01,OUT019,749.2129568553962
NCC43,OUT027,6168.295446285989
FDX13,OUT019,640.2443667700556
FDM22,OUT049,862.4506151797802
FDJ03,OUT027,1313.0749308114803
FDU14,OUT018,4958.194261529956
FDB33,OUT010,450.3367974278235
FDP27,OUT046,3357.178776791184
FDO38,OUT010,194.2999728737202
FDE28,OUT027,6162.228621810424
FDO27,OUT035,1629.4077514758735
DRL23,OUT027,2642.3597719446784
FDS28,OUT046,827.4301734915398
FDX24,OUT013,1274.6842506289845
FDZ02,OUT035,1435.1189018413174
FDL46,OUT045,1597.370598890669
FDS60,OUT027,4745.625761140545
NCO06,OUT017,472.8477478995105
FDO16,OUT035,1545.120694386806
FDC60,OUT049,1646.6295975239277
FDA48,OUT018,3563.524473142323
FDZ36,OUT027,5450.607363952659
FDK27,OUT045,1831.7796511428082
FDW23,OUT018,753.1368465544415
FDM14,OUT018,1366.4771242311572
FDM14,OUT013,1562.8832860822954
FDW60,OUT018,2331.7409853664576
FDE21,OUT013,1984.8837136432383
NCM42,OUT035,1881.9799354957786
FDY59,OUT010,197.87692329132938
DRI49,OUT049,1239.9258811018267
FDT28,OUT019,356.53126942626955
FDQ22,OUT018,515.1963493775459
FDR60,OUT049,1318.5502089781298
FDC50,OUT019,283.2953570992338
FDV24,OUT013,2355.035650510859
DRF48,OUT010,579.0161895129834
FDQ47,OUT046,701.1386474180499
DRN36,OUT049,1613.2166316432558
NCY06,OUT035,2421.7038567865006
FDE52,OUT035,1429.8416267856542
NCB54,OUT045,1742.6238866504243
NCF31,OUT035,2613.9934626961367
FDJ08,OUT027,5330.73318466605
NCC07,OUT017,1822.1876279322141
NCD19,OUT027,1135.8836621768664
FDL46,OUT049,2036.4380000077801
FDM20,OUT045,4565.258670771564
NCI06,OUT010,737.2098086514575
DRM11,OUT035,5076.747876313959
NCH07,OUT018,2363.3721931171813
FDS23,OUT013,1987.745406653018
FDO49,OUT018,522.0023487291357
FDS35,OUT049,1189.4802699744478
DRK39,OUT045,1156.1011962061466
DRI39,OUT049,957.1013927906231
FDV04,OUT017,2096.083712522396
