iter	Passed	Remaining
0	170	170349
1	175	87588
2	181	60429
3	187	46621
4	190	37995
5	194	32247
6	198	28191
7	202	25092
8	206	22696
9	209	20778
10	213	19203
11	216	17856
12	220	16731
13	223	15771
14	227	14937
15	230	14203
16	234	13557
17	238	12987
18	241	12468
19	245	12008
20	248	11604
21	252	11231
22	256	10896
23	260	10579
24	263	10284
25	267	10019
26	271	9786
27	275	9571
28	280	9397
29	285	9219
30	289	9046
31	293	8874
32	296	8701
33	300	8535
34	303	8377
35	307	8233
36	311	8105
37	315	7981
38	319	7868
39	323	7752
40	326	7643
41	330	7541
42	334	7447
43	338	7349
44	342	7269
45	346	7193
46	351	7120
47	354	7033
48	358	6957
49	362	6883
50	365	6810
51	369	6737
52	374	6683
53	378	6624
54	382	6575
55	386	6516
56	391	6474
57	395	6419
58	398	6362
59	403	6315
60	407	6272
61	411	6221
62	414	6171
63	418	6120
64	422	6077
65	426	6029
66	429	5984
67	434	5953
68	438	5911
69	442	5877
70	446	5839
71	450	5800
72	454	5766
73	458	5733
74	462	5699
75	465	5663
76	469	5625
77	473	5592
78	476	5557
79	480	5523
80	484	5493
81	487	5459
82	491	5425
83	495	5402
84	499	5378
85	503	5349
86	506	5317
87	510	5286
88	513	5259
89	517	5234
90	521	5204
91	524	5177
92	528	5151
93	531	5125
94	535	5102
95	539	5078
96	542	5053
97	546	5032
98	550	5007
99	553	4983
100	557	4960
101	560	4934
102	564	4911
103	567	4887
104	570	4863
105	573	4838
106	576	4813
107	580	4791
108	584	4774
109	587	4751
110	590	4730
111	594	4711
112	597	4693
113	601	4675
114	605	4657
115	608	4639
116	612	4621
117	616	4605
118	619	4588
119	623	4572
120	627	4558
121	631	4544
122	634	4525
123	638	4508
124	641	4493
125	645	4478
126	649	4463
127	653	4449
128	656	4435
129	660	4422
130	664	4411
131	668	4394
132	671	4378
133	675	4364
134	678	4347
135	681	4332
136	683	4305
137	687	4292
138	690	4278
139	694	4263
140	697	4247
141	700	4234
142	704	4224
143	708	4214
144	712	4201
145	715	4187
146	719	4174
147	722	4160
148	726	4147
149	729	4134
150	733	4121
151	736	4108
152	740	4097
153	743	4085
154	747	4074
155	751	4063
156	754	4051
157	758	4040
158	761	4028
159	765	4018
160	769	4007
161	772	3995
162	775	3982
163	778	3970
164	782	3958
165	786	3949
166	790	3942
167	793	3931
168	797	3919
169	800	3910
170	806	3910
171	810	3900
172	813	3889
173	817	3879
174	821	3870
175	824	3859
176	827	3848
177	831	3838
178	835	3830
179	838	3819
180	841	3809
181	845	3799
182	849	3790
183	852	3781
184	856	3771
185	859	3761
186	862	3750
187	866	3743
188	870	3734
189	873	3725
190	877	3715
191	881	3707
192	884	3698
193	888	3689
194	891	3679
195	894	3669
196	898	3660
197	901	3652
198	905	3643
199	908	3634
200	912	3627
201	916	3619
202	919	3610
203	922	3600
204	926	3591
205	929	3582
206	933	3575
207	936	3566
208	939	3556
209	943	3547
210	946	3540
211	950	3531
212	953	3524
213	957	3516
214	960	3507
215	964	3500
216	968	3493
217	972	3488
218	976	3481
219	980	3474
220	983	3467
221	986	3458
222	990	3449
223	993	3441
224	997	3435
225	1000	3426
226	1003	3418
227	1007	3410
228	1010	3402
229	1014	3395
230	1017	3387
231	1021	3380
232	1024	3373
233	1028	3365
234	1031	3357
235	1035	3351
236	1038	3343
237	1041	3336
238	1045	3329
239	1048	3321
240	1051	3313
241	1055	3304
242	1058	3296
243	1061	3288
244	1064	3280
245	1067	3272
246	1070	3264
247	1073	3256
248	1076	3248
249	1080	3240
250	1083	3232
251	1086	3224
252	1089	3216
253	1092	3208
254	1095	3200
255	1098	3192
256	1101	3185
257	1105	3178
258	1108	3170
259	1111	3163
260	1114	3155
261	1117	3147
262	1120	3141
263	1124	3133
264	1127	3126
265	1130	3118
266	1133	3111
267	1136	3104
268	1139	3097
269	1143	3090
270	1146	3083
271	1149	3076
272	1152	3069
273	1155	3062
274	1158	3055
275	1162	3048
276	1165	3041
277	1168	3035
278	1172	3029
279	1175	3022
280	1178	3015
281	1181	3009
282	1185	3002
283	1188	2997
284	1192	2990
285	1196	2985
286	1199	2979
287	1202	2972
288	1205	2966
289	1209	2960
290	1212	2955
291	1216	2949
292	1219	2943
293	1224	2939
294	1227	2934
295	1231	2928
296	1234	2923
297	1238	2917
298	1242	2912
299	1246	2908
300	1250	2903
301	1253	2897
302	1258	2894
303	1262	2889
304	1265	2884
305	1269	2878
306	1272	2873
307	1276	2867
308	1280	2862
309	1283	2857
310	1287	2852
311	1291	2846
312	1294	2842
313	1298	2837
314	1302	2832
315	1305	2826
316	1309	2821
317	1313	2816
318	1316	2811
319	1320	2805
320	1323	2799
321	1327	2795
322	1331	2791
323	1335	2786
324	1338	2780
325	1342	2775
326	1346	2770
327	1349	2765
328	1353	2759
329	1356	2754
330	1360	2749
331	1363	2743
332	1366	2737
333	1370	2732
334	1373	2726
335	1377	2721
336	1380	2716
337	1384	2711
338	1387	2705
339	1390	2700
340	1394	2694
341	1397	2688
342	1401	2683
343	1404	2678
344	1407	2672
345	1411	2667
346	1414	2662
347	1418	2658
348	1423	2654
349	1427	2650
350	1430	2645
351	1434	2640
352	1439	2638
353	1443	2633
354	1447	2629
355	1450	2623
356	1453	2618
357	1457	2613
358	1460	2607
359	1463	2602
360	1467	2597
361	1470	2592
362	1474	2586
363	1477	2581
364	1480	2576
365	1484	2571
366	1487	2566
367	1491	2561
368	1495	2557
369	1499	2552
370	1503	2548
371	1506	2543
372	1510	2539
373	1514	2534
374	1518	2530
375	1522	2525
376	1525	2521
377	1529	2516
378	1533	2512
379	1537	2508
380	1541	2505
381	1546	2501
382	1551	2498
383	1555	2494
384	1558	2489
385	1562	2485
386	1566	2481
387	1570	2477
388	1574	2473
389	1578	2468
390	1582	2465
391	1586	2461
392	1590	2456
393	1593	2451
394	1597	2447
395	1601	2442
396	1604	2437
397	1607	2432
398	1611	2428
399	1615	2423
400	1619	2418
401	1622	2414
402	1626	2409
403	1630	2405
404	1634	2401
405	1637	2395
406	1641	2391
407	1645	2387
408	1649	2383
409	1652	2378
410	1655	2373
411	1659	2368
412	1662	2363
413	1666	2358
414	1669	2353
415	1673	2349
416	1676	2344
417	1680	2339
418	1683	2334
419	1686	2329
420	1690	2324
421	1693	2320
422	1697	2315
423	1701	2311
424	1704	2306
425	1708	2301
426	1711	2296
427	1715	2292
428	1718	2287
429	1721	2282
430	1725	2277
431	1729	2273
432	1732	2268
433	1735	2263
434	1739	2259
435	1743	2255
436	1746	2250
437	1750	2245
438	1754	2242
439	1759	2239
440	1763	2235
441	1766	2230
442	1770	2226
443	1774	2222
444	1778	2217
445	1781	2213
446	1785	2209
447	1789	2205
448	1793	2200
449	1797	2196
450	1801	2192
451	1806	2189
452	1811	2187
453	1815	2183
454	1819	2179
455	1823	2175
456	1827	2171
457	1831	2166
458	1835	2162
459	1839	2159
460	1844	2156
461	1848	2152
462	1852	2148
463	1857	2145
464	1860	2141
465	1864	2137
466	1869	2133
467	1873	2129
468	1877	2126
469	1881	2121
470	1885	2117
471	1888	2112
472	1892	2108
473	1895	2103
474	1899	2099
475	1902	2094
476	1906	2090
477	1909	2085
478	1913	2080
479	1916	2076
480	1920	2072
481	1923	2067
482	1927	2063
483	1931	2058
484	1935	2054
485	1938	2050
486	1942	2045
487	1946	2041
488	1950	2037
489	1953	2033
490	1957	2029
491	1962	2025
492	1966	2022
493	1969	2017
494	1973	2013
495	1976	2008
496	1980	2004
497	1983	1999
498	1987	1995
499	1990	1990
500	1993	1985
501	1997	1981
502	2000	1976
503	2003	1972
504	2007	1967
505	2012	1964
506	2015	1959
507	2018	1954
508	2021	1950
509	2025	1945
510	2029	1941
511	2032	1937
512	2036	1933
513	2040	1929
514	2044	1925
515	2048	1921
516	2051	1916
517	2055	1912
518	2059	1909
519	2063	1905
520	2067	1900
521	2071	1896
522	2075	1893
523	2079	1888
524	2082	1884
525	2086	1880
526	2091	1877
527	2094	1872
528	2098	1868
529	2102	1864
530	2106	1860
531	2110	1856
532	2113	1851
533	2117	1847
534	2120	1842
535	2123	1838
536	2127	1833
537	2130	1829
538	2133	1824
539	2136	1820
540	2139	1815
541	2142	1810
542	2146	1806
543	2149	1801
544	2153	1797
545	2156	1793
546	2160	1789
547	2163	1784
548	2167	1780
549	2171	1776
550	2175	1772
551	2178	1768
552	2182	1763
553	2185	1759
554	2189	1755
555	2192	1751
556	2196	1747
557	2200	1742
558	2204	1738
559	2207	1734
560	2211	1730
561	2215	1726
562	2218	1721
563	2221	1717
564	2224	1712
565	2228	1708
566	2231	1704
567	2235	1700
568	2239	1696
569	2243	1692
570	2248	1688
571	2251	1684
572	2255	1680
573	2258	1676
574	2261	1671
575	2265	1667
576	2268	1663
577	2272	1659
578	2275	1654
579	2279	1650
580	2283	1646
581	2286	1642
582	2290	1638
583	2293	1633
584	2297	1629
585	2300	1625
586	2304	1621
587	2307	1616
588	2310	1612
589	2313	1607
590	2317	1603
591	2320	1599
592	2324	1595
593	2327	1590
594	2331	1587
595	2335	1582
596	2338	1578
597	2342	1574
598	2346	1570
599	2350	1567
600	2354	1562
601	2357	1558
602	2361	1554
603	2365	1550
604	2369	1546
605	2372	1542
606	2376	1538
607	2380	1534
608	2383	1530
609	2387	1526
610	2392	1522
611	2396	1519
612	2399	1514
613	2403	1511
614	2407	1506
615	2410	1502
616	2414	1498
617	2418	1494
618	2421	1490
619	2426	1486
620	2429	1482
621	2432	1478
622	2436	1474
623	2440	1470
624	2444	1466
625	2448	1462
626	2451	1458
627	2455	1454
628	2459	1450
629	2462	1446
630	2465	1442
631	2469	1437
632	2473	1433
633	2476	1429
634	2480	1425
635	2483	1421
636	2488	1417
637	2492	1414
638	2496	1410
639	2499	1406
640	2503	1402
641	2507	1398
642	2511	1394
643	2514	1389
644	2517	1385
645	2521	1381
646	2524	1377
647	2527	1373
648	2531	1368
649	2534	1364
650	2538	1360
651	2541	1356
652	2544	1352
653	2547	1347
654	2551	1344
655	2555	1340
656	2559	1336
657	2562	1331
658	2565	1327
659	2569	1323
660	2572	1319
661	2576	1315
662	2579	1311
663	2583	1307
664	2586	1302
665	2589	1298
666	2592	1294
667	2595	1290
668	2599	1286
669	2603	1282
670	2606	1278
671	2610	1274
672	2614	1270
673	2617	1266
674	2621	1262
675	2625	1258
676	2629	1254
677	2632	1250
678	2635	1246
679	2639	1242
680	2643	1238
681	2647	1234
682	2651	1230
683	2655	1226
684	2659	1222
685	2663	1219
686	2667	1215
687	2671	1211
688	2675	1207
689	2679	1203
690	2682	1199
691	2686	1195
692	2690	1191
693	2694	1188
694	2698	1184
695	2702	1180
696	2706	1176
697	2709	1172
698	2713	1168
699	2716	1164
700	2720	1160
701	2723	1156
702	2727	1152
703	2731	1148
704	2734	1144
705	2738	1140
706	2741	1136
707	2745	1132
708	2748	1128
709	2752	1124
710	2755	1120
711	2759	1116
712	2763	1112
713	2766	1108
714	2770	1104
715	2773	1100
716	2777	1096
717	2780	1092
718	2784	1088
719	2787	1084
720	2791	1080
721	2794	1076
722	2798	1072
723	2801	1068
724	2806	1064
725	2810	1060
726	2814	1056
727	2817	1052
728	2821	1048
729	2825	1044
730	2828	1040
731	2831	1036
732	2835	1032
733	2839	1029
734	2843	1025
735	2846	1021
736	2850	1017
737	2853	1013
738	2857	1009
739	2860	1005
740	2864	1001
741	2867	997
742	2871	993
743	2875	989
744	2879	985
745	2882	981
746	2886	977
747	2889	973
748	2892	969
749	2896	965
750	2899	961
751	2903	957
752	2906	953
753	2909	949
754	2913	945
755	2917	941
756	2921	937
757	2925	933
758	2928	929
759	2932	925
760	2935	922
761	2939	918
762	2943	914
763	2946	910
764	2950	906
765	2953	902
766	2957	898
767	2960	894
768	2963	890
769	2967	886
770	2970	882
771	2973	878
772	2976	874
773	2979	870
774	2983	866
775	2986	862
776	2989	857
777	2992	853
778	2995	849
779	2999	845
780	3002	841
781	3005	837
782	3008	833
783	3011	829
784	3015	826
785	3019	822
786	3022	818
787	3025	814
788	3029	810
789	3032	806
790	3035	802
791	3039	798
792	3042	794
793	3045	790
794	3048	786
795	3052	782
796	3056	778
797	3060	774
798	3064	770
799	3067	766
800	3071	763
801	3074	759
802	3077	755
803	3081	751
804	3084	747
805	3087	743
806	3090	739
807	3093	735
808	3097	731
809	3100	727
810	3103	723
811	3106	719
812	3109	715
813	3113	711
814	3116	707
815	3119	703
816	3122	699
817	3126	695
818	3129	691
819	3133	687
820	3136	683
821	3139	679
822	3143	675
823	3146	672
824	3149	668
825	3152	664
826	3156	660
827	3159	656
828	3162	652
829	3165	648
830	3168	644
831	3172	640
832	3175	636
833	3178	632
834	3181	628
835	3184	624
836	3188	620
837	3191	616
838	3194	613
839	3197	609
840	3200	605
841	3204	601
842	3207	597
843	3210	593
844	3213	589
845	3216	585
846	3220	581
847	3223	577
848	3226	573
849	3230	570
850	3233	566
851	3237	562
852	3240	558
853	3244	554
854	3247	550
855	3251	546
856	3254	543
857	3258	539
858	3262	535
859	3265	531
860	3269	527
861	3273	524
862	3277	520
863	3280	516
864	3284	512
865	3288	508
866	3292	505
867	3295	501
868	3299	497
869	3303	493
870	3307	489
871	3311	486
872	3315	482
873	3319	478
874	3323	474
875	3326	470
876	3330	467
877	3334	463
878	3338	459
879	3342	455
880	3346	452
881	3350	448
882	3353	444
883	3357	440
884	3360	436
885	3364	432
886	3367	429
887	3370	425
888	3373	421
889	3377	417
890	3380	413
891	3384	409
892	3387	405
893	3391	402
894	3395	398
895	3399	394
896	3402	390
897	3406	386
898	3409	383
899	3412	379
900	3416	375
901	3419	371
902	3423	367
903	3426	363
904	3430	360
905	3433	356
906	3437	352
907	3440	348
908	3444	344
909	3448	341
910	3452	337
911	3456	333
912	3459	329
913	3463	325
914	3467	322
915	3471	318
916	3474	314
917	3478	310
918	3481	306
919	3485	303
920	3489	299
921	3493	295
922	3496	291
923	3499	287
924	3503	284
925	3506	280
926	3510	276
927	3514	272
928	3518	268
929	3522	265
930	3526	261
931	3529	257
932	3532	253
933	3536	249
934	3540	246
935	3543	242
936	3547	238
937	3551	234
938	3555	230
939	3558	227
940	3561	223
941	3565	219
942	3569	215
943	3573	211
944	3576	208
945	3579	204
946	3583	200
947	3587	196
948	3590	192
949	3594	189
950	3597	185
951	3601	181
952	3604	177
953	3608	173
954	3611	170
955	3615	166
956	3618	162
957	3622	158
958	3625	155
959	3629	151
960	3632	147
961	3635	143
962	3638	139
963	3641	136
964	3645	132
965	3648	128
966	3651	124
967	3656	120
968	3660	117
969	3664	113
970	3667	109
971	3670	105
972	3673	101
973	3676	98
974	3680	94
975	3683	90
976	3686	86
977	3690	83
978	3693	79
979	3696	75
980	3699	71
981	3702	67
982	3705	64
983	3709	60
984	3712	56
985	3715	52
986	3718	48
987	3721	45
988	3725	41
989	3729	37
990	3733	33
991	3736	30
992	3739	26
993	3742	22
994	3746	18
995	3749	15
996	3752	11
997	3755	7
998	3758	3
999	3761	0
